#,Name,Country,Nick,GP_t1 position,GP_t1 points,GP_t1 rank. points,GP_t2 position,GP_t2 points,GP_t2 rank. points,GP_t3 position,GP_t3 points,GP_t3 rank. points,GP_t4 position,GP_t4 points,GP_t4 rank. points,GP_t5 position,GP_t5 points,GP_t5 rank. points,GP_t6 position,GP_t6 points,GP_t6 rank. points,GP_t7 position,GP_t7 points,GP_t7 rank. points,Points,Played GPs,Total GPs,year
1.,Tiit Vunk,Estonia,TiiT,1,100,976.5,3,97.69,870.2,3,87.1,835,6,88.12,849.7,1,100,894,1,100,838.2,12,83.88,846.5,572.91,7,7,2014
2.,Kota Morinishi,Japan,Kota,13,72.79,710.8,4,96.9,863.2,1,100,958.7,1,100,964.2,24,62.63,559.9,2,99.3,832.3,4,87.4,882,556.39,7,7,2014
3.,Jakub Ondroušek,Czech Rep.,,8,77.95,761.2,2,97.95,872.5,4,86.66,830.8,3,91.13,878.7,4,88.89,794.7,5,90.49,758.5,1,100,1009.2,555.12,7,7,2014
4.,Jan Mrozowski,Poland,janoslaw,22,62.18,607.2,5,96.54,860,10,72.35,693.6,2,95.5,920.8,2,93.66,837.3,4,94.43,791.5,6,86.22,870.1,538.70,7,7,2014
5.,Bastien Vial-Jaime,France,,9,77.73,759,6,92.37,822.8,6,77.08,739,15,75.22,725.3,5,87.62,783.3,6,90.4,757.7,11,85,857.8,510.20,7,7,2014
6.,Seungjae Kwak,"Korea, South",Kwaka,2,84.62,826.3,1,100,890.8,13,69.66,667.8,17,72.89,702.8,6,87.21,779.7,10,75.61,633.8,13,83.55,843.2,503.88,7,7,2014
7.,Sinchai Rungsangrattanakul,Thailand,sinchai4547,7,78.06,762.3,21,75.71,674.4,8,74.91,718.2,4,89.43,862.3,8,83.05,742.5,8,78.47,657.7,3,88.04,888.5,492.76,7,7,2014
8.,Hideaki Jo,Japan,,12,73.2,714.8,9,88.15,785.2,28,55.39,531,5,88.55,853.8,9,82.38,736.5,20,64.42,540,7,86.11,869,482.81,7,7,2014
9.,Michael Ley,Germany,misko,3,81.16,792.5,20,76.22,679,9,73.54,705,19,71.61,690.5,15,73.71,659,7,84.47,708,14,82,827.5,471.10,7,7,2014
10.,Nikola Zivanovic,Serbia,NikolaZ,14,70.92,692.5,,,,7,75.9,727.7,10,81.49,785.7,3,89.15,797,9,78.14,655,20,73.36,740.3,468.96,6,7,2014
