#,Name,Country,Nick,Points,GP_t2 points,GP_t2 rank. points,GP_t2 position,year,round
1.,Letian Ming,China,Mike,1064.7,1064.7,1064.7,1.,2026,2
2.,Tantan Dai,China,SERENE,983.3,983.3,983.3,2.,2026,2
3.,Suzhe QIU,China,ysbg123,922.3,922.3,922.3,3.,2026,2
4.,Cheran Sun,China,青清晴情,918.2,918.2,918.2,4.,2026,2
5.,Hu Yuxuan Hu,China,huyuxuan,909.5,909.5,909.5,5.,2026,2
6.,Prasanna Seshadri,India,prasanna16391,874.3,874.3,874.3,6.,2026,2
7.,Ken Endo,Japan,EKBM,871.3,871.3,871.3,7.,2026,2
8.,Zihang Liu,China,lelele,865.8,865.8,865.8,8.,2026,2
9.,Kota Morinishi,Japan,Kota,863,863,863,9.,2026,2
10.,Vincent Bertrand,Belgium,,837.8,837.8,837.8,10.,2026,2
11.,Tiit Vunk,Estonia,TiiT,826.1,826.1,826.1,11.,2026,2
12.,Jakub Ondroušek,Czech Rep.,,822.7,822.7,822.7,12.,2026,2
13.,Jan Vondruška,Czech Rep.,WTM,812.8,812.8,812.8,13.,2026,2
14.,Seungjae Kwak,"Korea, South",Kwaka,812.3,812.3,812.3,14.,2026,2
15.,Yu Tianxiang,China,Yutx_GCS,780.7,780.7,780.7,15.,2026,2
16.,心 木,China,木心,764.2,764.2,764.2,16.,2026,2
17.,黄明睿 Huang,China,MingruiHuang,763.8,763.8,763.8,17.,2026,2
18.,Sinchai Jaturangkhajit,Thailand,sinchai4547,743.9,743.9,743.9,18.,2026,2
19.,Yanzhe Qiu,China,qyz,741.2,741.2,741.2,19.,2026,2
20.,Don Wu,Taiwan,don3232,734.9,734.9,734.9,20.,2026,2
#,Name,Country,Nick,Points,Points,Points,#,2026,2
21.,Martin Merker,Germany,MaM,729.7,729.7,729.7,21.,2026,2
22.,Lucy Epstein,USA,,726.3,726.3,726.3,22.,2026,2
23.,Đức Chiến Nguyễn,Vietnam,NDChien2000,720,720,720,23.,2026,2
24.,Takuya Sugimoto,Japan,sugitakukun,667.8,667.8,667.8,24.,2026,2
25.,Jordyn Hyde,USA,,665,665,665,25.,2026,2
26.,Khả Lê Minh,Vietnam,Lê Minh Khả,663,663,663,26.,2026,2
27.,Patrick Kanz,Germany,Alfred Noobel,663,663,663,27.,2026,2
28.,Dominik Bezkosty,Poland,,661,661,661,28.,2026,2
29.,Zbigniew Zarzycki,Poland,antyp,629,629,629,29.,2026,2
30.,Candice Solidarios,Philippines,,629,629,629,30.,2026,2
31.,Chiel Beenhakker,Netherlands,bakpao,629,629,629,31.,2026,2
32.,Tina Bratim,Croatia,Tinica,629,629,629,32.,2026,2
33.,Jelena Balanova,Latvia,,629,629,629,33.,2026,2
34.,Nora Borst,USA,,611,611,611,34.,2026,2
35.,Matteo Fedeli,Italy,Yoshi Baroshi,608,608,608,35.,2026,2
36.,徐晨皓 samuelxu,China,嘉和逆天,607,607,607,36.,2026,2
37.,Timothy Doyle,France,Timothy,607,607,607,37.,2026,2
38.,David Jones,Canada,WMathie,596,596,596,38.,2026,2
39.,SeongHwa Hong,"Korea, South",,595,595,595,39.,2026,2
40.,Jakub Hrazdira,Czech Rep.,Gotroch,584,584,584,40.,2026,2
#,Name,Country,Nick,Points,Points,Points,#,2026,2
41.,雨 南宫,China,南宫雨,580,580,580,41.,2026,2
42.,Heyu Wang,China,Heyu Wang,574,574,574,42.,2026,2
43.,Akio Tanabe,Japan,akio,568,568,568,43.,2026,2
44.,Eva Schuckert,Austria,,564,564,564,44.,2026,2
45.,Tyler Chen,USA,tchenn,559,559,559,45.,2026,2
46.,Tomasz Stróżak,Poland,strozo,558,558,558,46.,2026,2
47.,CJ Tan,Philippines,hetan,557,557,557,47.,2026,2
48.,Hideaki Jo,Japan,,556,556,556,48.,2026,2
49.,Tom Collyer,UK,,555,555,555,49.,2026,2
50.,Calum Mailer,UK,,549,549,549,50.,2026,2
51.,Pavel Kadlečík,Czech Rep.,kousek-nebe,546,546,546,51.,2026,2
52.,Xingjian Cui,China,,546,546,546,52.,2026,2
53.,Freddie Hand,UK,Puzzle_Maestro,546,546,546,53.,2026,2
54.,Veronika Macků,Czech Rep.,Pherenike,545,545,545,54.,2026,2
55.,Sumate Juariyamark,Thailand,MrLiang,542,542,542,55.,2026,2
56.,Rintaro Matsumoto,Japan,,539,539,539,56.,2026,2
57.,Dennis Keetman,Netherlands,DennisK,526,526,526,57.,2026,2
58.,Judyta Izabela Bujnowska,Poland,JuIza,521,521,521,58.,2026,2
59.,Yuki Kajihara,Japan,Shiraoka,520,520,520,59.,2026,2
60.,Adem Jaziri,Tunisia,Adem Jaziri,520,520,520,60.,2026,2
#,Name,Country,Nick,Points,Points,Points,#,2026,2
61.,Valentin Miakinen,France,Barbitos,512,512,512,61.,2026,2
62.,Kishore Sridharan,India,kishy72,512,512,512,62.,2026,2
63.,Tingyan Qian,China,Leo Qian,508,508,508,63.,2026,2
64.,cheng hao zhang,China,浩之呈,508,508,508,64.,2026,2
65.,Philippe Meyer,France,FifiR,500,500,500,65.,2026,2
66.,Bastien Vial-Jaime,France,,496,496,496,66.,2026,2
67.,Arvis Brizga,Latvia,,487,487,487,67.,2026,2
68.,Ragnar Kruberg,Estonia,Krubi,483,483,483,68.,2026,2
69.,Kazuya Yamamoto,Japan,Hazakura,483,483,483,69.,2026,2
70.,SHANSHUI WANYAN,China,SHMETROreciter,483,483,483,70.,2026,2
71.,Wan Pei Jun,Malaysia,PeiJun,482,482,482,71.,2026,2
72.,Naoki Sekiya,Japan,,482,482,482,72.,2026,2
73.,Weifan Wang,China,qw014052,473,473,473,73.,2026,2
74.,Hwangrae Lee,"Korea, South",Spica,467,467,467,74.,2026,2
75.,Orhun Yüksel,Turkey,Niverio,464,464,464,75.,2026,2
76.,zhonghua Huang,China,yangzhou,463,463,463,76.,2026,2
77.,Maxim Li,USA,28 degrees,463,463,463,77.,2026,2
78.,Sed Holaysan,Philippines,,455,455,455,78.,2026,2
79.,mi yanming,China,,453,453,453,79.,2026,2
80.,Christian König,Germany,CJK,451,451,451,80.,2026,2
#,Name,Country,Nick,Points,Points,Points,#,2026,2
81.,Yuzheng Lian,China,blexxx,448,448,448,81.,2026,2
82.,Klára Vytisková,Czech Rep.,QKV,447,447,447,82.,2026,2
83.,MOMO MOMO,Albania,,447,447,447,83.,2026,2
84.,city isolated,China,isolatedcity,447,447,447,84.,2026,2
85.,Hannes Sidorov,Estonia,HannesB0Y,447,447,447,85.,2026,2
86.,Boyan Dong,China,,445,445,445,86.,2026,2
87.,Jack Lawrence,UK,,436,436,436,87.,2026,2
88.,Byron Calver,Canada,ByronosaurusRex,434,434,434,88.,2026,2
89.,Zhen Fan,China,FierceHAuCl4,433,433,433,89.,2026,2
90.,Roberto Lee,Taiwan,robertolee,429,429,429,90.,2026,2
91.,yongbu Wang,China,WangYongbu,428,428,428,91.,2026,2
92.,Yuta Nagata,Japan,nyuta,428,428,428,92.,2026,2
93.,hyuk sun Kwon,"Korea, South",dolgore63,427,427,427,93.,2026,2
94.,Xuân Dương Lê,Vietnam,leduongk65cbuet,421,421,421,94.,2026,2
95.,Martijn Goorden,Netherlands,Qwerty,420,420,420,95.,2026,2
96.,Clover Moon,USA,clover,420,420,420,96.,2026,2
97.,Pavel Kocka,Czech Rep.,hawranomut,419,419,419,97.,2026,2
98.,Krystian Świderski,Poland,karzym,415,415,415,98.,2026,2
99.,XiaoWei Huang,China,xiao01wei,413,413,413,99.,2026,2
100.,Frank Wang,USA,,412,412,412,100.,2026,2
#,Name,Country,Nick,Points,Points,Points,#,2026,2
