Rank,Unofficial,Country,Name,Team,Age,Newcomer,Sum,R1,R2,R3,R4,R5,R6,R7
1,1,Estonia,Tiit Vunk,EST-A,,,3350,375,325,740,620,420,480,390
,2,China,Tantan Dai,UN2,,,3340,310,300,710,660,680,270,410
2,3,Czechia,Jakub Ondrousek,CZE-A,,,3115,375,360,710,450,420,400,400
3,4,Czechia,Jan Vondruska,CZE-A,,,2790,460,205,510,485,495,325,310
4,5,Belgium,Vincent Bertrand,UN2,,,2645,315,245,470,515,375,355,370
5,6,Germany,Martin Merker,GER-A,,,2635,300,270,480,475,395,325,390
6,7,Poland,Dominik Bezkosty,POL-A,,,2610,325,210,520,515,350,330,360
7,8,Czechia,Jan Zverina,CZE-A,,,2565,240,340,585,425,310,325,340
8,9,Turkiye,Can Erturan,TUR-A,U18,,2485,365,260,450,455,235,360,360
9,10,Serbia,Nikola Zivanovic,,,,2475,285,205,500,445,370,280,390
10,11,Germany,Christian Konig,GER-A,,,2475,235,230,460,545,315,330,360
11,12,Czechia,Jan Novotny,CZE-B,,,2445,285,235,445,390,450,280,360
12,13,United Kingdom,Freddie Hand,GBR-A,,New,2380,500,100,515,475,405,235,150
13,14,France,Timothy Doyle,FRA-A,,,2265,245,350,540,410,365,280,75
14,15,Netherlands,Chiel Beenhakker,NED-A,,,2192.5,295,200,415,385,420,215,262.5
15,16,Czechia,Jakub Hrazdira,CZE-B,,,2180,210,230,475,395,370,150,350
16,17,Turkiye,Salih Alan,TUR-A,,,2105,70,290,495,290,360,375,225
17,18,United Kingdom,Tom Collyer,GBR-A,,,2065,320,170,295,325,280,325,350
18,19,Austria,Eva Schuckert,UN1,,,2060,205,230,410,445,200,230,340
19,20,Netherlands,Lennart Muijres,NED-A,,,2045,230,140,475,385,255,290,270
20,21,Hungary,Zoltan Gyimesi,HUN-A,,,2040,85,200,350,430,300,325,350
,22,Thailand,Tawan Sunathvanichkul,UN2,,,2030,230,225,300,465,245,255,310
21,23,France,Valentin Miakinen,FRA-A,,,2020,295,145,430,370,245,225,310
22,24,Czechia,Jana Novotna,CZE-B,,,1930,135,220,425,370,325,230,225
23,25,Germany,Torsten Rogoll,GER-A,,,1930,155,225,285,290,305,330,340
24,26,Poland,Krystian Swiderski,POL-A,,,1910,210,170,355,365,305,280,225
25,27,Italy,Valerio Stancanelli,ITA-A,,,1900,235,180,325,250,310,250,350
26,28,Estonia,Hannes Sidorov,EST-A,,,1860,140,250,460,270,260,255,225
27,29,Croatia,Tina Bratim,CRO-A,,,1830,150,240,510,315,215,325,75
,30,France,Yannick Meyapin,UN5,,,1790,140,230,285,315,285,215,320
28,31,Netherlands,Annick Weyzig,NED-B,,,1740,70,175,375,375,235,285,225
,32,Slovakia,Peter Hudak,SVK-E,,,1730,140,170,320,335,225,230,310
,33,USA,Jeffrey Huang,UN3,,,1690,160,180,410,165,275,170,330
29,34,Slovakia,Natalia Chanova,SVK-A,,,1685,120,160,355,345,330,150,225
30,35,United Kingdom,Calum Mailer,GBR-A,,,1680,165,115,335,285,340,215,225
31,36,Netherlands,Dennis Keetman,NED-A,,,1650,155,175,305,220,355,215,225
32,37,Turkiye,Orhun Yuksel,TUR-B,,,1630,205,180,355,310,330,175,75
33,38,Turkiye,Hatice Esra Yaka,TUR-A,,,1625,205,185,235,355,265,305,75
34,39,Luxembourg,Claudine Thiry,UN1,O50,,1580,145,130,340,325,245,170,225
35,40,Hungary,Zoltan Horvath,HUN-A,,,1570,90,110,330,370,320,200,150
36,41,Hungary,Gyorgy Herke,HUN-B,,,1540,160,120,365,215,250,120,310
,42,Slovakia,Andrej Plastiak,,,,1485,120,200,335,370,175,210,75
,43,Poland,Maciej Ignaciuk,POL-C,,,1470,235,125,275,355,290,190,0
,44,Netherlands,Siebe Verheijen,NED-C,,,1420,160,170,390,315,215,170,0
37,45,Netherlands,Marielle Hoexum,NED-B,,,1405,155,140,205,335,205,215,150
38,46,Austria,Manuela Hawel,UN1,O50,,1385,200,215,180,300,210,130,150
