Name,Country,100m,R,Long Jump,R,Shot Put,R,High Jump,R,400m,R,110m Hurdles,R,Discus,R,Pole Vault,R,Javelin,R,1500m,R,Score,Ranking,Track (Classics),R,Field (Variants),R
"Jan Mrozowski
",Poland,53,33,130,4,160,5,126,4,175,2,92,1,132,7,141,4,164,2,162,6,1335,1,482,2,853,1
"Jakub Ondroušek
",Czech Republic,105,1,80,21,156,7,122,5,190,1,70,6,155,2,93,29,66,35,122,21,1159,2,487,1,672,9
"Hideaki Jo
",Japan,52,34,152,1,147,9,133,1,136,5,64,11,110,21,132,6,68,34,165,4,1159,2,417,7,742,5
"Florian Kirch
",Germany,61,18,152,1,181,4,133,1,105,20,72,5,118,13,134,5,99,17,98,35,1153,4,336,19,817,3
"Byron Calver
",Canada,75,6,110,8,147,9,122,5,110,14,64,11,135,4,125,8,101,15,145,9,1134,5,394,9,740,6
"Ko Okamoto
",Japan,37,60,95,13,130,15,128,3,104,28,64,11,155,2,125,8,185,1,90,41,1113,6,295,35,818,2
"Chen Cen
",China,89,2,63,47,117,20,100,16,92,34,58,19,117,16,96,27,89,21,229,2,1050,7,468,4,582,16
"Salih Alan
",Turkey,54,30,67,33,195,1,111,9,135,7,54,26,120,10,116,14,117,8,81,50,1050,7,324,24,726,7
"David Jones
",Canada,61,18,109,9,86,45,111,9,129,9,68,10,133,6,71,58,122,5,145,9,1035,9,403,8,632,11
"Jan Novotný
",Czech Republic,61,18,34,78,195,1,78,30,51,82,36,62,180,1,125,8,136,3,135,19,1031,10,283,38,748,4
"Nikola Živanović
",Serbia,64,10,119,7,147,9,100,16,93,33,58,19,117,16,113,15,104,14,108,33,1023,11,323,25,700,8
"Jana Břízová
",Czech Republic,63,14,89,15,109,24,115,8,105,20,52,28,117,16,91,32,111,12,145,9,997,12,365,12,632,11
David McNeill,United Kingdom,59,24,80,21,160,5,29,88,85,40,58,19,92,41,145,1,119,6,145,9,972,13,347,15,625,13
"Jakub Hrazdira
",Czech Republic,63,14,56,56,100,30,111,9,106,19,40,47,135,4,145,1,110,13,93,36,959,14,302,33,657,10
"Rohan Rao
",India,59,24,80,21,79,48,100,16,129,9,48,35,70,69,58,69,76,26,235,1,934,15,471,3,463,37
"Michael Smit
",Germany,64,10,51,59,186,3,100,16,141,3,36,62,91,46,52,78,118,7,93,36,932,16,334,20,598,14
"Ondřej Suchý
",Czech Republic,61,18,81,20,126,18,44,78,85,40,46,39,129,9,86,40,90,19,145,9,893,17,337,17,556,20
"Tiit Vunk
",Estonia,72,7,42,72,87,44,71,47,129,9,50,32,106,24,57,73,90,19,180,3,884,18,431,5,453,41
"Michael Ley
",Germany,78,5,94,14,137,13,71,47,105,20,56,24,120,10,98,23,62,39,58,69,879,19,297,34,582,16
"Gaurav Korde
",India,72,7,79,30,94,39,71,47,140,4,52,28,81,55,77,50,40,53,165,4,871,20,429,6,442,45
"Jason Zuffranieri
",USA,36,63,152,1,30,100,122,5,105,20,70,6,118,13,88,37,62,39,81,50,864,21,292,36,572,19
"Branko Ćeranić
",Serbia,48,38,103,10,143,12,78,30,90,38,56,24,94,39,104,22,22,73,113,27,851,22,307,31,544,22
"Zoltán Horváth
",Hungary,51,37,43,70,137,13,111,9,99,30,28,81,97,30,121,11,85,24,73,61,845,23,251,50,594,15
"Yannick Meyapin
",France,86,4,65,46,79,48,100,16,136,5,58,19,84,51,91,32,22,73,112,28,833,24,392,10,441,46
