Nonoff,Official,Playoff,Name 1,Name 2,Country,Team,Result,Part 1,Part 2,Part 3,Part 4,Part 5,Part 6,Part 7,Part 8,Part 9,Part 10
1,1,1,Thomas,Snyder,USA,USA-A,3760,140,270,580,425,390,465,305,620,365,200
2,4,2,Kota,Morinishi,Japan,JPN-A,3453,146,132,460,320,480,415,380,555,355,210
3,3,3,Tiit,Vunk,Estonia,EST-A,3459,84,195,605,305,340,465,370,490,410,195
4,9,4,Hideaki,Jo,Japan,JPN-A,3096,140,51,480,320,375,425,325,540,300,140
5,5,5,Florian,Kirch,Germany,GER-A,3443,98,230,445,380,385,420,305,580,390,210
6,6,6,Jan,Novotný,Czech Republic,CZE-A,3258,118,225,370,315,385,425,300,540,360,220
7,7,7,Nikola,Živanović,Serbia,SRB-A,3168,128,225,440,370,290,465,305,530,235,180
8,8,8,Michael,Ley,Germany,GER-A,3142,100,215,520,370,275,465,295,590,250,62
9,10,9,Jakub,Ondroušek,Czech Republic,CZE-A,3055,132,3,585,175,355,525,340,390,335,215
10,2,10,Jan,Mrozowski,Poland,POL-A,3525,120,190,485,395,405,425,325,525,425,230
11,11,,Bastien,Vial-Jaime,France,FRA-A,3001,86,0,555,265,285,395,340,575,300,200
12,12,,Rohan,Rao,India,IND-A,2983,68,200,415,240,355,465,250,475,315,200
13,13,,Branko,Ćeranić,Serbia,SRB-A,2854,120,60,390,240,295,465,295,415,395,179
14,14,,Ulrich,Voigt,Germany,GER-A,2839,118,6,405,250,425,385,295,525,270,160
15,15,,Vincent,Bertrand,Belgium,BEL-A,2832,102,195,560,320,200,255,335,485,200,180
16,16,,Cen,Chen,China,CHN-A,2827,52,0,505,240,275,365,345,460,405,180
17,,,Sebastian,Matschke,Germany,UN-09,2765,90,180,365,265,290,415,280,440,240,200
18,17,,Jana,Břízová,Czech Republic,CZE-A,2751,72,84,435,290,220,425,255,460,300,210
19,18,,Byron,Calver,Canada,UN-08,2749,114,185,405,320,295,325,295,390,245,175
20,19,,Przemysław,Dębiak,Poland,POL-A,2748,48,205,435,235,305,385,270,490,195,180
21,20,,David,McNeill,United Kingdom,GBR-A,2679,150,0,420,290,285,425,295,445,300,69
22,21,,Mehmet Murat,Sevim,Turkey,TUR-A,2622,72,230,315,310,285,375,220,370,235,210
23,22,,Jakub,Hrazdira,Czech Republic,CZE-B,2617,76,126,385,270,235,385,250,525,335,30
24,23,,Tom,Collyer,United Kingdom,GBR-A,2613,68,215,340,240,295,355,305,345,270,180
25,24,,Hubert,Wagner,Germany,GER-B,2598,92,215,430,190,245,355,295,435,270,71
26,25,,Zuzana,Hromcová,Slovakia,SVK-B,2593,80,138,365,215,325,315,270,405,330,150
27,26,,Frédérique,Rogeaux,France,FRA-A,2586,76,185,405,290,265,215,260,380,340,170
28,27,,Yannick,Meyapin,France,FRA-A,2561,96,117,450,235,240,255,325,345,410,88
29,28,,Will,Blatt,USA,UN-06,2536,116,195,455,320,210,190,255,455,250,90
30,29,,Peter,Hudák,Slovakia,SVK-A,2517,82,135,335,240,250,325,230,475,240,205
31,30,,Michael,Smit,Germany,GER-A,2362,56,245,365,225,305,290,205,255,300,116
32,31,,Jonathan,Rivet,USA,USA-A,2351,92,144,290,320,340,210,190,400,225,140
33,32,,Bram,de Laat,Netherlands,NED-A,2344,74,205,255,185,210,360,270,380,245,160
34,33,,Ondřej,Suchý,Czech Republic,CZE-B,2284,52,33,405,185,290,285,280,380,355,19
35,34,,Sylvain,Caudmont,France,FRA-A,2257,86,147,370,185,220,365,275,335,265,9
36,35,,Jason,Zuffranieri,USA,USA-A,2236,136,0,410,135,315,215,270,400,190,165
37,36,,Minfang,Lin,China,CHN-A,2212,60,0,450,175,330,255,270,285,355,32
38,,,Jana,Tylová,Czech Republic,CZE-B,2190,60,90,265,190,215,250,235,475,230,180
39,37,,Matúš,Demiger,Slovakia,SVK-B,2188,78,185,375,255,130,180,225,495,255,10
40,38,,Štefan,Gašpár,Slovakia,SVK-A,2182,116,120,345,265,205,285,180,390,240,36
41,39,,Stefan,Leopoldseder,Austria,UN-01,2174,66,123,375,185,215,315,245,320,300,30
42,40,,Klára,Vytisková,Czech Republic,CZE-A,2167,92,0,475,140,200,295,300,245,245,175
43,41,,Karin,Griffioen,Netherlands,NED-A,2164,84,120,365,185,220,300,195,335,200,160
44,42,,Jaakko,Kangasharju,Finland,FIN-A,2163,68,200,345,200,225,345,205,290,125,160
45,43,,Frédéric,Stalder,Switzerland,SUI-A,2159,60,114,450,145,170,150,305,455,165,145
46,44,,Sumit,Bothra,India,IND-A,2154,104,45,415,125,225,365,240,345,290,0
47,45,,Wilbert,Zwart,Netherlands,NED-A,2143,142,0,395,85,135,325,270,355,410,26
48,46,,Rick,Uppelschoten,Netherlands,NED-A,2116,66,210,305,265,220,355,185,300,185,25
49,47,,Olivier,Rubio,France,FRA-B,2114,84,215,330,185,265,250,145,395,95,150
50,48,,Goran,Vodopija,Croatia,CRO-A,2098,128,75,355,270,130,275,170,340,160,195
51,49,,Manuela,Hawel,Austria,UN-01,2073,96,138,340,185,200,280,245,330,245,14
