Fin,Off.,All,Competitor,Co.,Team,Part 1,Part 2,Part 3,Part 4,Part 5,Part 6,Part 7,Total
1,2,2,Jan Mrozowski,POL,POL-A,40,101,60,86,98,50,21,456
2,1,1,Kota Morinishi,JPN,JPN-A,50,138,93,74,79,69,0,503
3,5,5,Hideaki Jo,JPN,JPN-A,31,94,96,54,86,54,0,415
4,3,3,Tiit Vunk,EST,EST-A,71,95,51,52,86,53,21,429
5,4,4,Jakub Ondroušek,CZE,CZE-A,75,101,60,28,69,36,51,420
6,6,6,Bastien Vial-Jaime,FRA,FRA-A,40,94,60,62,56,49,48,409
7,7,7,Chen Cen,CHN,CHN-A,33,109,60,42,66,50,36,396
8,8,8,Rohan Rao,IND,IND-A,40,89,51,48,77,35,45,385
,9,9,Yuhei Kusui,JPN,JPN-A,31,80,95,38,66,48,21,379
,10,10,Jin Ce,CHN,CHN-A,50,61,60,46,61,34,55,367
,11,11,Salih Alan,TUR,TUR-A,35,74,60,38,72,37,40,356
,12,12,Ko Okamoto,JPN,JPN-A,40,62,60,52,49,51,42,356
,13,13,Michael Ley,GER,GER-A,41,85,60,56,73,39,0,354
,14,14,Peter Hudák,SVK,SVK-A,30,61,60,46,95,41,21,354
,15,15,Nikola Živanovic,SRB,SRB-A,33,72,60,50,85,52,0,352
,16,16,Florian Kirch,GER,GER-A,29,53,80,64,50,62,9,347
,17,17,Jan Novotný,CZE,CZE-A,41,71,51,62,68,42,0,335
,18,18,Jana Brízová,CZE,CZE-A,33,65,51,40,65,38,38,330
,19,19,Qiu Yanzhe,CHN,CHN-A,40,63,51,40,63,35,30,322
,20,20,Zoltán Gyimesi,HUN,HUN-A,34,49,60,42,70,33,30,318
,21,21,Fred Stalder,SUI,SUI-A,26,79,60,34,75,35,0,309
,22,22,Zoltán Horváth,HUN,HUN-A,23,51,98,38,66,30,0,306
,23,23,Jakub Hrazdira,CZE,CZE-A,40,57,51,48,76,32,0,304
,24,24,Sebastian Matschke,GER,GER-A,15,65,51,28,74,40,30,303
,25,25,Frederique Rogeaux,FRA,FRA-A,31,60,60,40,48,25,30,294
,26,26,Michael Smit,GER,GER-A,40,67,60,28,59,34,0,288
,27,27,Zuzana Hromcová,SVK,SVK-A,28,45,60,54,71,29,0,287
,28,28,Tom Collyer,GBR,GBR-A,26,65,51,28,55,23,32,280
,29,29,Matúš Demiger,SVK,SVK-A,21,80,60,32,62,24,0,279
,30,30,Bram De Laat,NED,NED-A,23,53,60,54,68,21,0,279
,,31,Klára Vytisková,CZE,CZE-B,33,76,41,48,50,20,9,277
,,32,Gui Yong,CHN,UN-6,17,69,60,24,54,30,21,275
,31,33,Jason Zuffranieri,USA,USA-A,31,70,51,18,75,25,0,270
,32,34,Gaurav Korde,IND,IND-A,39,59,41,18,54,23,34,268
,33,35,Tian Jian,CHN,CHN-A,31,65,60,24,56,20,9,265
,34,36,Stefan Leopoldseder,AUT,AUT-A,31,51,60,40,48,35,0,265
,35,37,Péter Szentkúti,HUN,HUN-A,23,42,51,32,53,28,30,259
,36,38,Wei-Hwa Huang,USA,USA-A,18,46,51,32,41,40,30,258
,,39,Prasanna Seshadri,IND,UN-8,27,64,51,32,45,26,12,257
,37,40,Rakesh Rai,IND,IND-A,31,51,51,32,48,37,0,250
,38,41,Jonathan Rivet,USA,USA-A,23,46,42,38,58,32,0,239
,39,42,Serkan Yürekli,TUR,TUR-A,26,41,51,28,69,21,0,236
,40,43,Mehmet Murat Sevim,TUR,TUR-A,27,14,60,46,33,56,0,236
,41,44,Neil Zussman,GBR,GBR-A,18,46,45,26,54,39,0,228
,,45,Petr Nepovím,CZE,CZE-B,23,47,51,24,56,24,0,225
,,46,Chris Narrikkattu,USA,USA-B,23,60,44,22,54,20,0,223
,,47,Pavel Kadlecík,CZE,CZE-B,25,55,51,6,60,26,0,223
,42,48,Ivana Štiptová,SVK,SVK-A,13,42,51,48,49,19,0,222
,,49,Marek Kasár,SVK,SVK-B,23,36,51,24,36,21,30,221
,,50,Petra Cicová,CZE,CZE-B,31,46,51,12,37,19,21,217
,43,51,Pawel Rachel,POL,POL-A,23,33,51,26,53,27,0,213
,44,52,Olivier Rubio,FRA,FRA-A,31,51,17,24,44,34,9,210
,45,53,Michael Collins,GBR,GBR-A,18,37,36,28,61,28,0,208
,46,54,Matthias Reichmayr,AUT,AUT-A,18,33,51,20,47,37,0,206
,,55,Maria Graber,GER,GER-B,23,50,51,14,36,31,0,205
,,56,Philipp Weiss,GER,UN-4,20,38,51,32,29,35,0,205
,,57,Jirí Hrdina,CZE,UN-1,31,18,44,18,44,20,30,205
,,58,Masahiro Kaneko,JPN,JPN-B,16,53,32,30,27,25,21,204
,47,59,Manuela Hawel,AUT,AUT-A,23,51,51,12,48,17,0,202
,48,60,Annick Weyzig,NED,NED-A,23,65,34,24,27,28,0,201
,49,61,Claudine Thiry,LUX,UN-4,18,51,51,18,48,12,0,198
,50,62,Tomasz Strózak,POL,POL-A,23,42,17,12,33,39,30,196
,,63,Huang Zhenpu,CHN,UN-6,17,51,34,0,57,4,30,193
,,64,Pál Madarassy,HUN,HUN-B,17,28,60,36,28,23,0,192
,51,65,Sumit Bothra,IND,IND-A,22,28,51,26,34,22,9,192
,52,66,Riad Khanmagomedov,RUS,UN-7,5,38,51,24,34,30,9,191
,53,67,Jaakko Kangasharju,FIN,FIN-A,23,48,17,20,57,22,0,187
,,68,Tamás Antal,HUN,HUN-B,16,32,51,6,45,34,0,184
,54,69,Zrinka Karacic,CRO,CRO-A,18,31,51,6,57,12,9,184
,55,70,Ulla Elsilä,FIN,FIN-A,16,42,42,28,29,26,0,183
,56,71,Zoran Tanasic,SRB,SRB-A,20,24,51,12,69,7,0,183
,,72,Robert Babilon,CZE,UN-1,24,41,34,20,36,27,0,182
,,73,Nils Miehe,GER,GER-B,23,27,51,18,48,15,0,182
,,74,Kerstin Woege,GER,GER-B,28,47,43,10,28,16,9,181
,57,75,Agnieszka Buczma,POL,POL-A,18,37,51,8,35,23,9,181
,,76,Eva Branišová,SVK,SVK-B,18,32,35,18,41,15,21,180
,58,77,Cedomir Milanovic,SRB,SRB-A,16,28,50,22,32,32,0,180
,59,78,Giovanni Frugoli,ITA,ITA-A,23,41,51,0,41,23,0,179
,60,79,Boglár Major,HUN,HUN-A,23,48,32,12,35,19,9,178
,61,80,Giulia Franceschini,ITA,ITA-A,16,37,51,8,19,20,21,172
,,81,Joerg Zentgraf,GER,UN-3,17,32,44,22,38,18,0,171
,62,82,Mario Živkovic,CRO,CRO-A,26,43,26,12,41,22,0,170
,63,83,Joshua Zucker,USA,USA-A,23,33,32,18,39,22,0,167
,,84,Chiara Nuzio,ITA,ITA-B,11,42,34,20,37,18,0,162
,64,85,Elena Aivazopoulou,GRE,GRE-A,10,33,51,12,34,20,0,160
,,86,Katalin Stolmár,HUN,HUN-B,17,26,51,10,36,19,0,159
,65,87,Frederic Prevot,FRA,FRA-A,10,23,51,18,36,21,0,159
,,88,Jonathan Mendelson,USA,USA-B,18,38,51,12,19,11,9,158
,,89,Emma McCaughan,GBR,UN-5,11,33,51,10,37,16,0,158
,,90,Maho Yokota,JPN,JPN-B,10,29,51,0,45,22,0,157
,,91,Dan Marek,CZE,UN-1,23,36,17,0,40,28,12,156
,,92,Lukasz Kalinowski,POL,UN-3,16,28,26,18,32,35,0,155
,66,93,Olga Diaz,ESP,UN-5,17,60,25,8,26,18,0,154
,67,94,Roderick Grafton,GBR,GBR-A,16,33,41,12,27,22,0,151
,68,95,Dragan Tolomanoski,BIH,UN-7,10,38,16,28,44,14,0,150
,,96,Tamás Csizmazia,HUN,HUN-B,17,25,51,26,15,16,0,150
,,97,Michaela Bieliková,SVK,SVK-B,23,44,17,12,38,15,0,149
,,98,Yuka Jo,JPN,JPN-B,17,35,31,6,40,16,0,145
,,99,Tatsuya Yamamoto,JPN,JPN-B,16,23,51,12,25,18,0,145
,,100,Marian Kraus,GER,GER-B,16,17,44,18,28,22,0,145
,69,101,Laura Tarchetti,ITA,ITA-A,23,42,17,0,44,16,0,142
,70,102,Fatih Kamer Anda,TUR,TUR-A,9,32,44,16,23,18,0,142
,71,103,Dino Jankovic,CRO,CRO-A,16,46,7,20,25,26,0,140
,,104,Martin Krebs,SVK,SVK-B,22,39,33,0,25,7,12,138
,,105,Pawel Kepczynski,POL,UN-3,5,38,41,0,27,25,0,136
,72,106,Paolo Grandi,SUI,SUI-A,16,19,42,12,27,16,0,132
,73,107,Philippe Niederkorn,BEL,UN-2,23,30,35,12,18,13,0,131
,,108,Daniele Colnaghi,ITA,ITA-B,5,26,34,18,27,17,0,127
,74,109,Marko Obradovic,SRB,SRB-A,18,23,26,18,28,14,0,127
,,110,Jaan Laks,EST,UN-6,11,28,17,18,34,18,0,126
,75,111,Villem Mesila,EST,EST-A,23,33,14,12,17,26,0,125
,,112,Todd Geldon,USA,USA-B,18,7,25,12,35,25,0,122
,76,113,Triin Melnik,EST,EST-A,16,38,7,8,31,18,0,118
,77,114,Liisa Sarakontu,FIN,FIN-A,16,28,16,6,34,18,0,118
,,115,Laurent Saillot,FRA,UN-2,10,23,34,12,19,20,0,118
,78,116,Vasso Kalaitzidou,GRE,GRE-A,5,20,41,12,12,27,0,117
,79,117,Richard Stolk,NED,NED-A,31,29,9,6,18,22,0,115
,,118,Theophane Garconnet,FRA,UN-2,11,4,43,12,40,5,0,115
,80,119,Janus Kayser,DEN,UN-4,16,30,14,12,22,18,0,112
,81,120,Margit Ool,EST,EST-A,23,27,17,12,18,12,0,109
,,121,Zdenek Vodicka,CZE,UN-1,11,33,17,8,29,10,0,108
,82,122,Christof Bruetsch,SUI,SUI-A,16,30,16,0,32,14,0,108
,83,123,Gianluca Mancuso,ITA,ITA-A,0,49,15,0,30,12,0,106
,,124,Pierdante Lanzavecchia,ITA,ITA-B,10,23,7,6,42,10,0,98
,84,125,Michael Mosshammer,AUT,AUT-A,10,10,36,6,20,16,0,98
,85,126,Henning Kalsgaard Poulsen,DEN,UN-4,5,37,7,6,30,11,0,96
,,127,Jakub Caban,POL,UN-3,5,24,24,12,12,18,0,95
,86,128,Jouni Särkijärvi,FIN,FIN-A,5,33,34,0,9,13,0,94
,87,129,Claudia Schmutz,SUI,SUI-A,16,24,26,6,18,0,0,90
,,130,Allar Padari,EST,UN-6,5,9,17,12,21,23,0,87
