Unofficial,Official,Final,Name,Country,Team,Total,R1,R2,R3,R4,R5,R6,R9,R10,Play-off R1,Play-off R2,Play-off Final
2,2,1,Kota Morinishi,JPN,JPN-A,4060,220,625,540,465,675,525,850,160,,,1
1,1,2,Tiit Vunk,EST,EST-A,4120,200,675,470,465,515,615,960,220,,,2
3,3,3=,Bastien Vial-Jaime,FRA,FRA-A,3970,230,665,550,465,435,385,1010,230,,,3=
4,4,3=,Jakub Ondroušek,CZE,CZE-A,3735,210,475,550,385,575,445,895,200,,W,3=
5,5,5,Kwak Seung-Jae,KOR,KOR-A,3623,178,615,435,380,555,370,880,210,,,
6,6,6,Dai Tantan,CHN,CHN-A,3530,200,480,510,415,535,160,1020,210,,,
7,7,7,Hideaki Jo,JPN,JPN-A,3456,156,445,470,380,515,505,775,210,W,,
8,8,8,Michael Ley,DEU,DEU-A,3423,153,565,435,430,565,325,760,190,,,
9,9,9,Takuya Sugimoto,JPN,JPN-A,3371,136,495,400,350,575,535,680,200,,,
10,10,10,Jin Ce,CHN,CHN-A,3350,175,430,360,300,565,410,880,230,,,
11,11,11,Nikola Zivanovic,SRB,SRB-A,3318,153,475,560,345,365,405,845,170,,,
12,12,12,Sun Cheran,CHN,CHN-A,3192.5,207.5,585,345,260,435,430,800,130,,,
13,13,13,Ulrich Voigt,DEU,DEU-A,3180,155,465,490,335,535,365,705,130,,,
14,14,14,Rohan Rao,IND,IND-A,3112,162,370,435,445,435,335,710,220,,,
15,15,15,Jan Novotný,CZE,CZE-A,3111,91,450,470,345,440,350,805,160,,,
16,16,16,Zuzana Hromcová,SVK,SVK-A,3022,122,440,400,350,395,380,725,210,,,
17,17,17,Florian Kirch,DEU,DEU-A,2994,109,425,280,175,535,405,845,220,,,
18,,,Qiu Yanzhe,CHN,UN-08,2982.5,155,445,490,410,502.5,250,645,85,,,
19,18,18,Jana Břízová,CZE,CZE-A,2926,131,385,395,335,375,400,735,170,,,
20,19,19,Vincent Bertrand,BEL,UN-03,2904,184,505,305,255,370,360,785,140,,,
21,20,20,David Tyler Jones,CAN,CAN-A,2880,155,515,320,340,340,410,715,85,,,
22,21,21,Prasanna Venkatesh Seshadri,IND,IND-A,2865,130,445,435,300,165,390,870,130,,,
23,22,22,Peter Hudák,SVK,SVK-A,2798,153,385,395,205,400,305,755,200,,,
24,23,23,Matúš Demiger,SVK,SVK-A,2753,133,380,345,290,395,270,730,210,,,
25,24,24,Frédéric Stalder,CHE,CHE-A,2728,113,515,230,310,320,450,660,130,,,
26,25,25,Sebastian Matschke,DEU,DEU-A,2690,155,360,395,210,360,390,670,150,,,
27,26,26,Klára Vytisková,CZE,CZE-A,2660,200,405,250,235,270,400,670,230,,,
28,27,27,Salih Alan,TUR,TUR-A,2623,123,385,165,255,415,350,780,150,,,
29,28,28,Sylvain Caudmont,FRA,FRA-A,2595,150,370,360,330,255,275,705,150,,,
30,,,Pavel Kadlečík,CZE,CZE-B,2555,155,435,360,240,360,190,615,200,,,
31,29,29,Chen Cen,CHN,CHN-A,2554,184,380,225,435,270,145,715,200,,,
32,,,Martin Merker,DEU,DEU-B,2550,130,400,355,240,345,340,570,170,,,
33,,,Chen Shiyu,CHN,CHN-B,2528,138,300,510,140,320,205,715,200,,,
34,30,30,Zoltán Gyimesi,HUN,HUN-A,2523,88,355,415,270,330,285,610,170,,,
35,31,31,Byron Calver,CAN,CAN-A,2520,130,365,395,250,410,235,555,180,,,
36,32,32,Jason Zuffranieri,USA,USA-A,2519,94,335,315,290,475,225,645,140,,,
37,33,33,Keisui Okuma,JPN,JPN-A,2505,125,410,295,160,290,310,705,210,,,
38,34,34,Timothy Doyle,FRA,FRA-A,2390,220,340,165,310,300,165,680,210,,,
39,35,35,Bram de Laat,NLD,NLD-A,2356,111,450,300,95,390,220,630,160,,,
40,36,36,Rishi Puri,IND,IND-A,2348,153,450,230,255,375,215,520,150,,,
41,,,Ken Endo,JPN,UN-07,2315,130,335,470,165,250,270,535,160,,,
42,37,37,David McNeill,GBR,GBR-A,2297,152,385,305,195,300,235,605,120,,,
43,38,38,Jonathan Rivet,USA,USA-A,2286,106,340,260,195,405,255,555,170,,,
44,,,Yao Siyu,CHN,CHN-B,2230,130,270,270,225,310,235,690,100,,,
45,39,39,Krystian Świderski,POL,POL-A,2224,119,435,280,80,355,205,570,180,,,
46,,,Jan Zverina,CZE,UN-04,2183,178,415,255,165,255,260,535,120,,,
47,40,40,Wei-Hwa Huang,USA,USA-A,2180,110,360,340,135,275,295,515,150,,,
48,41,41,Mehmet Murat Sevim,TUR,TUR-A,2161,86,390,325,50,380,300,430,200,,,
49,42,42,Karin Griffioen,NLD,NLD-A,2147.5,130,295,395,310,185,145,550,137.5,,,
50,43,43,Frédérique Rogeaux,FRA,FRA-A,2140,115,360,325,170,210,225,575,160,,,
51,,,Michaela Bieliková,SVK,SVK-B,2131,91,310,205,260,220,390,495,160,,,
52,44,44,Tomasz Strozak,POL,POL-A,2127,97,325,215,150,350,250,620,120,,,
53,45,45,Przemysław Dębiak,POL,POL-A,2123,48,355,230,130,320,275,605,160,,,
54,,,Wang Jiahao,CHN,CHN-B,2098,178,405,195,215,270,235,600,0,,,
55,46,46,Chris Narrikkattu,USA,USA-A,2076,126,230,190,240,285,210,605,190,,,
56,47,47,Jaakko Kangasharju,FIN,UN-09,2036,81,300,340,170,270,290,415,170,,,
57,48,48,Eva-Maria Schuckert,AUT,AUT-A,2026,111,265,330,160,270,165,545,180,,,
58,,,Dan Katz,USA,USA-B,1996,96,350,240,155,310,250,465,130,,,
59,49,49,Mark Goodliffe,GBR,GBR-A,1989,84,295,175,115,415,290,515,100,,,
60,50,50,Neil Zussman,GBR,GBR-A,1975,105,285,355,115,215,215,575,110,,,
61,,,Olivier Rubio,FRA,FRA-B,1945,85,335,200,125,235,285,530,150,,,
62,,,Ma Menglei,CHN,CHN-B,1935,175,270,205,190,225,150,520,200,,,
63,,,Piotr Gdowski,POL,POL-B,1934,49,415,250,140,290,290,460,40,,,
64,,,Joshua Zucker,USA,USA-B,1919,64,340,205,230,310,220,420,130,,,
65,,,Anderson Wang,USA,USA-B,1910,105,270,265,175,145,240,550,160,,,
66,51,51,Zoran Tanasic,SRB,SRB-A,1883,63,320,180,215,315,270,420,100,,,
67,,,Robert Vollmert,DEU,DEU-B,1869,69,290,215,160,325,210,410,190,,,
68,52,52,Ivana Štiptová,SVK,SVK-A,1858,153,330,230,180,270,135,430,130,,,
69,,,Philipp Weiß,DEU,DEU-B,1851,86,180,230,235,265,225,480,150,,,
70,,,Jana Hanzelková,CZE,CZE-B,1838,123,350,230,185,230,260,350,110,,,
