Rank,Off. rank,Play-off,Name,Country,Team,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 8,Round 9,Total
1,1,1,Kota Morinishi,Japan,JPN-A,330,485,700,285,610,395,625,165,3595
2,2,2,Tiit Vunk,Estonia,EST-A,265,485,460,275,750,440,585,150,3410
3,3,3,Jakub Ondroušek,Czech Republic,CZE-A,320,395,470,265,655,465,625,170,3365
4,4,4,Bastien Vial-Jaime,France,FRA-A,220,360,580,260,540,410,510,160,3040
5,5,5,Seung-Jae Kwak,Korea,KOR-A,300,355,540,0,700,345,625,165,3030
6,6,6,Michael Ley,Germany,GER-A,240,450,415,235,630,325,445,150,2890
9,9,7,Prasanna Seshadri,India,IND-A,215,405,485,260,530,330,445,155,2825
7,7,8,Cheran Sun,China,CHN-A,320,360,380,210,570,440,420,155,2855
8,8,9,Ken Endo,Japan,JPN-A,215,370,455,240,500,405,520,120,2825
10,10,10,Timothy Doyle,France,FRA-A,320,440,450,205,545,295,420,145,2820
11,11,,Tantan Dai,China,CHN-A,180,325,575,164,640,335,420,165,2804
12,12,,Vincent Bertrand,Belgium,UN-09,330,405,400,260,465,345,440,145,2790
13,13,,Frédéric Stalder,Switzerland,SUI-A,245,455,450,86,530,390,485,140,2781
14,---,,Jan Zvěřina,Czech Republic,CZE-B,265,305,360,260,545,365,515,150,2765
15,14,,Rohan Rao,India,IND-A,265,410,395,265,640,375,275,140,2765
16,15,,Matúš Demiger,Slovakia,SVK-A,255,245,445,245,645,305,445,155,2740
17,---,,Siyu Yao,China,CHN-B,285,360,385,215,510,295,445,145,2640
18,16,,Takuya Sugimoto,Japan,JPN-A,255,330,365,255,630,365,415,0,2615
19,17,,Zuzana Hromcová,Slovakia,SVK-A,210,340,275,255,620,320,440,155,2615
20,18,,Jakub Hrazdira,Czech Republic,CZE-A,210,340,360,260,615,270,390,150,2595
21,19,,David Mcneill,UK,GBR-A,215,255,415,260,595,250,475,125,2590
22,20,,Florian Kirch,Germany,GER-A,215,335,285,240,600,410,340,155,2580
23,21,,Bram De Laat,Netherlands,NED-A,160,415,365,270,315,400,455,160,2540
24,22,,Jan Novotný,Czech Republic,CZE-A,150,295,390,225,575,365,390,150,2540
25,23,,Will Blatt,USA,USA-A,250,360,290,280,445,390,390,130,2535
26,24,,Jiacheng Song,China,CHN-A,255,390,435,134,475,180,510,150,2529
27,25,,David Tyler Jones,Canada,UN-01,220,380,375,265,500,335,375,50,2500
28,---,,Klára Vytisková,Czech Republic,CZE-B,250,365,250,230,475,445,415,0,2430
29,26,,Salih Alan,Turkey,TUR-A,250,275,300,240,545,240,415,150,2415
30,27,,Sebastian Matschke,Germany,GER-A,250,160,380,260,575,320,355,110,2410
31,28,,Nuo Chen,China,CHN-A,255,270,265,0,630,320,485,160,2385
32,29,,Eva Schuckert,Austria,UN-08,155,305,365,255,375,355,385,155,2350
33,30,,Keisui Okuma,Japan,JPN-A,170,315,345,230,460,380,295,130,2325
34,31,,Zoltán Gyimesi,Hungary,HUN-A,185,250,370,122,545,310,395,140,2317
35,---,,Menglei Ma,China,CHN-B,255,280,275,235,520,235,370,145,2315
36,---,,Cen Chen,China,CHN-B,200,415,325,255,490,230,295,77,2287
37,32,,Jason Zuffraneiri,USA,USA-A,200,280,480,0,490,250,445,135,2280
38,33,,Martin Merker,Germany,GER-A,180,365,405,250,485,275,200,115,2275
39,---,,Ko Okamoto,Japan,UN-07,145,335,385,0,525,270,420,155,2235
40,34,,Sylvain Caudmont,France,FRA-A,215,340,285,215,490,240,320,80,2185
41,---,,Andrej Plaštiak,Slovakia,SVK-B,135,310,335,110,450,305,350,135,2130
42,---,,Štefan Gašpár,Slovakia,SVK-B,195,300,305,230,465,270,235,130,2130
43,35,,Annick Weyzig,Netherlands,NED-A,165,300,310,245,465,225,245,115,2070
44,---,,Piotr Gdowski,Poland,POL-B,250,175,300,235,390,195,360,145,2050
45,36,,Krystian Świderski,Poland,POL-A,180,250,270,230,425,260,300,130,2045
46,37,,Jana Novotná,Czech Republic,CZE-A,190,185,350,36,510,225,335,140,1971
47,38,,Rishi Puri,India,IND-A,215,390,190,200,300,260,275,120,1950
48,39,,Pavel Jaselský,Slovakia,SVK-A,180,245,245,156,485,245,215,135,1906
49,---,,Rakesh Rai,India,IND-B,150,195,395,220,285,190,335,120,1890
50,---,,Weifan Wang,China,CHN-B,250,315,325,0,420,170,275,135,1890
51,40,,Tomasz Stróżak,Poland,POL-A,135,185,205,240,510,215,345,50,1885
52,41,,Zoltán Horváth,Hungary,HUN-A,130,320,245,235,210,220,370,155,1885
53,---,,Olivier Rubio,France,FRA-B,180,250,265,0,430,310,280,150,1865
54,---,,Amit Sowani,India,IND-B,135,290,280,215,380,165,330,50,1845
55,42,,Przemysław Dębiak,Poland,POL-A,180,290,325,0,345,215,385,105,1845
56,43,,Pál Madarassy,Hungary,HUN-A,120,300,255,230,260,290,235,130,1820
57,---,,Yuki Kawabe,Japan,JPN-B,160,130,275,225,450,200,215,140,1795
58,44,,Heather Golding,UK,GBR-A,180,155,295,255,260,245,260,140,1790
59,45,,Karin Griffioen,Netherlands,NED-A,130,255,235,240,280,180,325,145,1790
60,46,,Chris Narrikkattu,USA,USA-A,125,330,265,30,360,325,335,0,1770
61,---,,Pavel Kadlečík,Czech Republic,CZE-C,305,185,370,0,410,260,190,50,1770
62,---,,Neil Zussman,UK,GBR-B,130,95,295,250,425,170,255,145,1765
63,47,,Kishore Kumar Sridharan,India,IND-A,180,255,190,0,490,300,260,73,1748
64,48,,Mark Goodliffe,UK,GBR-A,120,205,180,210,355,195,335,140,1740
65,49,,Tom Collyer,UK,GBR-A,90,150,275,102,440,225,315,140,1737
66,50,,Alexander Ershov,Russia,RUS-A,120,135,250,172,400,195,305,140,1717
67,51,,Wei-Hwa Huang,USA,USA-A,165,305,205,205,265,95,340,125,1705
68,52,,Jaakko Kangasharju,Finland,UN-02,130,230,270,200,305,205,285,73,1698
69,53,,Kuo An Li,Chinese Taipei,UN-05,215,225,235,68,455,165,280,50,1693
70,---,,Takeshi Kawasaki,Japan,JPN-B,150,225,230,52,345,305,260,125,1692
71,54,,Michaela Bieliková,Slovakia,SVK-A,180,135,165,210,440,170,325,50,1675
72,55,,Hatice Esra Aydemir,Turkey,TUR-A,115,125,265,245,325,210,235,145,1665
73,56,,Błażej Szmatiuk,Poland,POL-A,165,200,185,240,330,125,255,145,1645
74,57,,Péter Szentkúti,Hungary,HUN-A,195,255,250,68,400,190,225,50,1633
75,---,,Jean-Christophe Novelli,France,FRA-B,120,210,230,200,310,145,310,105,1630
76,58,,Claudine Thiry,Luxembourg,UN-08,130,180,290,245,300,200,125,115,1585
77,59,,Laura Tarchetti,Italy,ITA-A,165,185,205,44,275,250,335,105,1564
78,60,,Zoran Tanasic,Serbia,SRB-A,120,200,220,140,280,220,220,145,1545
