Fin.,Off.,All,First name,Last name,Country,Team,Total,R1,R2,R3,R4,R5,R6,R7,R10,R11,R12,King of M,Sprinter (unfinished column)
1,2,2,Tiit,Vunk,Estonia,EST-A,"4,522",500,410,685,310,232,370,287,330,"1,068",330,"1,424","1,050"
2,1,1,Jakub,Ondrousek,Czech Republic,CZE-A,"4,751",467,362,800,300,365,400,222,400,"1,095",340,"1,637","1,002"
3,3,3,Kota,Morinishi,Japan,PN-A,"4,357",404,362,800,310,241,259,252,360,"1,059",310,"1,291",982
4,5,5,Shiyu,Chen,China,CHN-A,"4,191",363,450,620,260,264,410,214,370,"1,010",230,"1,264",940
5,4,4,Seungjae,Kwak,Korea,KOR-A,"4,277",500,410,608,156,228,325,280,340,"1,150",280,"1,481",846
6,8,8,Hideaki,Jo,Japan,JPN-A,"3,945",433,273,634,260,331,122,155,350,"1,107",280,"1,240",813
7,6,6,Cheran,Sun,China,CHN-A,"4,081",408,299,706,180,228,400,224,370,983,283,"1,442",762
8,9,9,Bastien,Vial-Jaime,France,FRA-A,"3,913",385,292,758,208,149,163,273,350,"1,045",290,"1,410",790
9,7,7,Yanzhe,Qiu,China,CHN-A,"3,988",475,315,547,208,344,324,128,266,"1,101",280,"1,451",803
10,10,10,Jakub,Hrazdira,Czech Republic,CZE-A,"3,828",456,261,633,290,260,290,195,300,893,250,"1,405",801
,11,11,Takuya,Sugimoto,Japan,JPN-A,"3,778",410,254,608,290,228,259,190,340,919,280,"1,375",824
,12,12,Tantan,Dai,China,CHN-A,"3,709",462,275,737,144,207,146,298,266,"1,014",160,"1,477",579
,13,13,Jan,Zvérina,Czech Republic,ICZE-A,"3,689",332,274,689,290,239,259,137,360,769,340,"1,144",904
,14,14,David,Jones,Canada,UN-04,"3,628",398,302,571,136,228,316,183,300,994,200,"1,144",638
,15,15,Timothy,Doyle,France,FRA-A,"3,621",317,371,535,100,229,370,244,380,915,160,"1,174",631
,,16,Jan,Novotny,Czech Republic,CZE-B,"3,420",415,136,587,250,180,296,173,164,"1,019",200,"1,568",586
,16,17,Michael,Ley,Germany,DEU-A,"3,412",345,294,322,250,260,291,184,300,876,290,"1,302",834
,17,18,Martin,Merker,Germany,DEU-A,"3,257",338,251,492,168,249,237,224,198,800,300,"1,637",719
,,19,Siyu,Yao,China,CHN-B,"3,218",337,342,593,100,232,247,155,320,732,160,718,602
,,20,Menglei,Ma,China,CHN-B,"3,153",244,342,491,136,232,168,190,300,790,260,911,738
,,21,Ken,Endo,Japan,JPN-B,"3,106",448,178,612,120,297,291,193,174,793,Oo,"1,538",298
,18,22,Rohan,Rao,India,IND-A,"3,091",300,291,549,164,140,245,200,228,874,100,957,555
,19,23,Klara,Vytiskova,Czech Republic,CZE-A,"3,059",288,365,456,310,264,267,217,334,558,0,873,675
,,24,Cen,Chen,China,CHN-E,"3,048",302,218,454,204,172,273,145,320,800,160,664,582
,20,25,Vincent,Bertrand,Belgium,UN-03,"3,045",313,283,544,132,208,284,176,266,569,270,666,685
,21,26,Prasanna Venkatesh,Seshadri,India,IND-A,"2,993",342,249,395,140,180,288,194,266,939,0,"1,278",389
,,27,Jana,Novotna,Czech Republic,CZE-B,"2,992",353,240,537,148,92,222,183,242,705,270,"1,173",658
,22,28,Salih,Alan,Turkey,TUR-A,"2,972",404,264,514,144,115,254,152,266,699,160,814,568
,,29,Yuxuan,Hu,China,CHN-B,"2,958",302,247,554,136,264,154,152,340,809,0,677,383
,23,30,Jason,Zuffranieri,USA,USA-A,"2,909",311,256,491,60,186,259,184,232,930,0,"1,200",316
,24,31,Keisui,Okuma,Japan,JPN-A,"2,891",356,255,507,200,277,273,164,160,699,0,889,455
,25,32,Tom,Collyer,United Kingdom,GBR-A,"2,872",299,283,524,232,232,185,83,156,678,200,"1,011",715
,,33,Veronika,Macku,Czech Republic,CZE-B,"2,870",383,296,500,180,176,259,139,232,605,100,878,576
,,34,Yuhei,Kusui,Japan,UN-03,"2,866",243,272,320,260,92,148,242,289,900,100,"1,410",632
,26,35,Eva,Schuckert,Austria,AUT-A,"2,822",333,264,473,168,207,205,133,232,707,100,"1,475",
,27,36,Yannick,Meyapin,France,FRA-A,"2,731",152,305,386,228,239,197,131,310,623,160,679,
,,37,Pavel,Kadlecik,Czech Republic,CZE-B,"2,677",267,137,427,56,71,247,194,136,942,200,899,393
,28,38,Andrej,Plastiak,Slovakia,SVK-A,"2,653",383,206,423,140,193,230,184,228,566,100,"1,094",
,,39,Weifan,Wang,China,CHN-B,"2,652",302,247,468,144,264,182,177,228,640,0,458,391
,29,40,Mark,Goodliffe,United Kingdom,GBR-A,"2,619",337,220,427,232,195,91,152,228,507,230,643,
,30,41,Pavel,Jaselsky,Slovakia,SVK-A,"2,612",321,226,317,216,211,156,85,300,530,250,Uaz,
,31,42,William,Blatt,USA,USA-A,"2,544",388,264,206,216,264,262,115,232,597,0,"1,347",
,32,43,Rakesh,Rai,India,IND-A,"2,528",284,198,514,160,161,231,115,194,671,0,928,
,33,44,Zoltan,Gyimesi,Hungary,HUN-A,"2,503",324,153,412,132,264,292,194,194,538,0,"1,288",
,34,45,Tomasz,Strozak,Poland,POL-A,"2,444",259,204,422,128,0,265,115,194,697,160,"1,042",
,35,46,Krystian,Swiderski,Poland,POL-A,"2,409",225,264,377,140,148,182,135,232,606,100,648,
,36,47,Piotr,Gdowski,Poland,POL-A,"2,403",252,156,412,160,36,196,161,274,756,0,918,
,,48,Enyang,Li,China,CHN-D,"2,328",302,166,375,68,149,148,128,198,694,100,605,334
,37,49,Sebastian,Matschke,Germany,DEU-A,"2,301",288,174,332,72,220,128,146,266,575,100,"1,172",
,38,50,Kishore Kumar,Sridharan,India,IND-A,"2,284",302,204,338,88,172,97,160,194,629,100,558,392
,39,51,Stefan,Gaspar,Slovakia,SVK-A,"2,262",265,117,479,136,161,128,84,96,596,200,866,
,,52,Takeshi,Kawasaki,Japan,JPN-B,"2,254",226,226,488,176,123,182,128,232,473,0,420,402
,,53,Amit,Sowani,India,IND-B,"2,247",302,185,453,140,35,205,0,170,597,160,990,485
,,54,Robert,Vollmert,Germany,DEU-B,"2,243",288,134,216,156,184,251,90,174,590,160,"1,123",450
,,55,Xiaowei,Huang,China,CHN-D,"2,236",338,196,278,84,180,168,135,160,597,100,"1,365",380
,,56,Taro,Arimatsu,Japan,JPN-B,"2,232",283,155,238,168,69,239,165,164,651,100,874,423
,,57,Jana,Hanzelkova,Czech Republic,CZE-C,"2,198",196,184,245,108,150,205,94,232,584,200,942,492
,40,58,Pal,Madarassy,Hungary,HUN-B,"2,197",334,77,301,96,159,200,105,204,621,100,"1,389",
,41,59,Wei-Hwa,Huang,USA,USA-A,"2,177",227,86,221,132,230,148,133,160,610,230,743,
,42,60,Manuela,Hawel,Austria,AUT-A,"2,166",222,151,410,216,140,173,128,232,494,0,412,367
,,61,Olivier,Rubio,France,FRA-A,"2,138",264,155,376,60,159,197,128,122,577,100,799,315
,,62,Anne,Limoges,France,FRA-B,"2,134",255,106,278,152,159,231,139,126,588,100,"1,356",358
,43,63,Heather,Golding,United Kingdom,GBR-A,"2,129",189,226,252,176,115,237,124,266,544,0,832,
,44,64,Annick,Weyzig,Netherlands,NLD-A,"2,125",276,106,397,148,140,188,93,198,579,0,323,
,45,65,Karin,Griffioen,Netherlands,NLD-A,"2,116",293,136,392,160,186,139,126,198,386,100,221,
,46,66,Laura,Tarchetti,Italy,ITA-A,"2,083",236,235,369,56,21,164,89,164,649,100,PET,391
,47,67,Claudine,Thiry,Luxembourg,UN-O6,"2,081",249,141,227,164,124,167,128,228,553,100,405,
,48,68,Jim,Schneider,USA,USA-A,"2,058",201,136,374,152,57,150,88,198,602,100,754,
,,69,Satoshi,Ando,Japan,JPN-B,"2,032",298,198,320,136,168,63,110,164,575,0,714,334
,,70,Neil,Zussman,United Kingdom,GBR-B,"2,017",238,98,351,160,92,168,108,204,498,100,"1,199",358
,49,71,Hatice Esra,Aydemir,Turkey,TUR-A,"1,997",241,176,341,120,197,139,90,160,433,100,"1,112",396
,,72,Agnieszka,Buczma,Poland,POL-B,"1,983",153,166,344,168,80,188,147,194,443,100,344,434
,,73,Gaurav Kumar,Jain,India,IND-C,"1,942",302,166,368,44,184,177,93,156,452,0,580,
,,74,Anderson,Wang,USA,UN-04,"1,930",228,163,340,52,161,58,132,194,502,100,626,315
,50,75,Diana,Skrhova,Slovakia,SVK-A,"1,894",237,196,324,136,153,114,132,126,376,100,867,
,,76,Rajesh,Kumar,India,IND-B,"1,881",224,120,330,48,80,160,124,130,505,160,374,328
,51,77,Jaakko,Kangasharju,Finland,FIN-A,"1,869",178,131,371,104,84,181,106,146,408,160,497,
,,78,Petra,Cigova,Czech Republic,CZE-C,"1,854",242,125,307,84,137,171,124,126,438,100,480,309
,,79,Kerstin,Wége,Germany,DEU-B,"1,852",277,245,216,132,115,116,89,228,434,0,548,377
,52,80,Torsten,Rogoll,Germany,DEU-A,"1,846",162,137,333,168,88,111,128,228,331,160,86,
,,81,Natalia,Chanova,Slovakia,SVK-B,"1,836",215,225,148,212,88,103,121,126,498,100,356,537
,53,82,Matteo,Testa,Italy,ITA-A,"1,822",177,130,316,124,92,181,93,232,477,0,Salz,
,,83,Tomoya,Kimura,Japan,UN-O3,"1,822",252,136,270,28,176,200,115,204,341,100,545,264
,54,84,Zoran,Tanasic,Serbia,SRB-A,"1,819",293,180,396,32,84,58,85,194,497,0,490,
,,85,Swaroop Srinivasrao,Guggilam,India,IND-C,"1,803",234,106,293,136,161,168,49,136,420,100,"1,190",342
,55,86,Chiara,Nuzio,Italy,ITA-A,"1,774",216,234,291,76,92,105,107,208,445,0,513,
,,87,Gulia,Franceschini,Italy,ITA-B,"1,774",291,141,288,96,149,128,86,160,335,100,406,337
,56,88,Tamas,Antal,Hungary,HUN-A,"1,751",253,111,330,92,92,116,64,102,591,0,"1,121",
,57,89,Henning Kalsgaard,Poulsen,Denmark,UN-05,"1,744",212,137,374,136,21,145,95,156,468,0,303,273
,58,90,Przemystaw,Debiak,Poland,POL-A,"1,739",197,117,319,88,120,154,160,126,458,0,477,
,,91,Karel,Stérba,Czech Republic,CZE-C,"1,735",197,191,307,84,184,28,121,228,395,0,366,275
,,92,Matthias,Reichmayr,Austria,UN-04,"1,720",67,94,315,88,184,167,51,198,456,100,822,282
,,93,Jaipal Reddy,Mogiligundla,India,IND-C,"1,699",171,236,141,44,134,142,126,112,593,0,565,280
,,94,Pranav Kamesh,Sivak,India,IND-B,"1,693",172,244,196,104,69,199,93,300,316,0,170,348
,,95,Igor,Hudak,Slovakia,SVK-C,"1,677",210,107,268,148,101,90,28,170,455,100,283,355
,,96,Christoph,Seeliger,Germany,DEU-B,"1,645",234,108,360,56,36,154,72,126,499,0,497,164
,,97,Raul,Ka¢éirek,Czech Republic,CZE-C,"1,640",238,77,398,84,69,65,94,92,523,0,481,161
,,98,Yue,Yao,China,CHN-D,"1,610",102,201,313,56,92,116,176,170,184,200,0,457
,,99,Valeria,Losasso,Italy,ITA-B,"1,602",184,106,150,180,53,131,93,164,441,100,262,386
,59,100,Vasso,Kalaitzidou,Greece,GRC-A,"1,590",239,73,359,44,140,134,115,126,260,100,581,
,,101,Thomas,Zimmermann,Germany,DEU-B,"1,587",225,143,209,112,138,160,94,126,380,0,488,255
,,102,Stefano,Forcolin,Italy,ITA-B,"1,575",193,94,343,68,115,154,101,102,405,0,563,162
,,103,Niels,Roest,Netherlands,NLD-B,"1,574",174,80,230,92,138,120,85,160,395,100,372,272
,,104,Akash,Doulani,India,IND-B,"1,555",147,137,336,104,92,54,101,198,386,0,283,241
,60,105,Taner,Karabulut,Turkey,TUR-A,"1,544",148,108,361,88,103,128,49,126,433,0,731,
,61,106,Michael,Moßhammer,Austria,AUT-A,"1,532",180,26,327,148,67,69,77,126,412,100,579,274
,,107,Mehmet,Durmus,Turkey,TUR-B,"1,526",163,89,225,68,149,114,86,92,440,100,676,257
,,108,Marek,Kasar,Slovakia,SVK-B,"1,524",155,124,261,136,105,171,132,164,276,0,295,260
,,109,Delia,Keetman,Netherlands,NLD-B,"1,521",105,106,353,72,56,130,72,164,463,0,578,178
,,110,Beri,Kohen,Turkey,TUR-B,"1,519",144,137,344,140,53,181,85,54,381,0,512,277
,62,111,Fatih Kamer,Anda,Turkey,TUR-A,"1,512",220,111,282,64,92,205,27,164,347,0,977,175
,,112,Imke,Herold,Germany,DEU-C,"1,493",195,107,314,108,21,119,69,170,390,0,415,215
,63,113,Maarit,Ryynanen,Finland,FIN-A,"1,492",162,111,336,72,161,171,97,126,256,0,708,
,64,114,Regina,Vunk,Estonia,EST-A,"1,481",162,164,263,28,105,113,118,204,324,0,179,
,65,115,Ulla,Elsila,Finland,FIN-A,"1,476",188,106,265,16,56,123,93,126,403,100,86,
,66,116,Tom Groot,Kormelink,Netherlands,NLD-A,"1,473",187,54,323,64,101,128,103,126,387,0,660,118
