Official Rank,Overall Rank,Name,Country,Team,R01,R02,R03,R04,R05,R06,R07,R11,R12,R13,R14,R15,R16,TOTAL
1,1,Kota Morinishi,Japan,JPN - A,385,1030,295,165,265,460,250,300,500,475,425,270,70,4890
2,2,Tiit Vunk,Estonia,EST - A,365,915,410,155,350,415,215,280,540,370,500,280,92,4887
3,3,Qiu Yanzhe,China,CHN - A,380,983,305,80,275,455,260,225,560,460,400,197,150,4730
4,4,Kwak Seungjae,Korea,KOR - A,350,940,275,160,245,435,245,290,500,340,455,260,86,4581
5,5,Dai Tantan,China,CHN - A,420,855,350,100,165,310,290,290,449,315,385,310,104,4343
6,6,Nikola Zivanovic,Serbia,SRB - A,285,670,305,180,190,410,295,170,345,410,410,260,86,4016
7,7,Jan Zverina,Czech Republic,CZE - A,365,880,260,155,290,375,215,290,320,270,245,270,67,4002
8,8,Hu Yuxuan,China,CHN - A,340,640,295,130,300,430,290,290,420,295,310,137,107,3984
9,9,Takuya Sugimoto,Japan,JPN - A,320,765,255,80,165,365,245,290,340,375,385,315,74,3974
10,10,Thomas Snyder,USA,USA - A,320,775,275,80,220,265,285,290,420,330,320,241,127,3948
11,11,Bastien VIAL-JAIME,France,FRA - A,290,780,250,60,300,350,245,290,305,405,345,225,67,3912
,12,Ming Letian,China,CHN - B,270,765,350,135,175,190,170,300,380,410,370,255,127,3897
12,13,David Tyler Jones,Canada,UN - 6,255,710,295,170,280,355,205,260,275,350,380,199,127,3861
13,14,Hideaki Jo,Japan,JPN - A,245,790,295,150,210,415,245,145,355,300,350,260,64,3824
14,15,Sinchai Rungsangrattanakul,Thailand,THA - A,350,680,260,60,220,345,290,233,360,355,390,149,104,3796
15,16,Matus Demiger,Slovakia,SVK - A,275,645,225,125,235,325,265,195,395,435,425,112,89,3746
16,17,Jan Novotny,Czech Republic,CZE - A,255,755,220,145,170,355,170,145,500,245,400,249,50,3659
,18,Ken Endo,Japan,JPN - B,165,640,310,160,170,415,265,250,455,295,300,98,80,3603
,19,Ryusuke Nishiyama,Japan,JPN - C,240,735,260,145,95,415,245,270,330,345,250,172,77,3579
,20,Huang Mingrui,China,CHN - B,270,585,340,60,165,345,200,195,345,340,320,126,64,3355
17,21,David McNeill,United Kingdom,UK - A,125,590,235,165,215,345,205,250,340,280,280,265,29,3324
18,22,Michael Ley,Germany,GER - A,205,680,320,145,230,310,175,270,340,165,245,119,107,3311
19,23,Keisui Okuma,Japan,JPN - A,195,725,130,145,180,305,205,250,270,200,375,250,34,3264
20,24,Zoltán Gyimesi,Hungary,HUN - A,165,660,215,145,145,355,290,145,285,260,205,225,150,3245
21,25,Wang Weifan,China,CHN - A,260,660,185,120,250,345,205,115,305,410,200,123,60,3238
22,26,Bram de Laat,Netherlands,NED - A,165,575,245,150,195,380,200,70,350,345,325,123,60,3183
23,27,Timothy DOYLE,France,FRA - A,195,695,215,80,270,185,205,200,165,245,380,270,77,3182
24,28,Yannick MEYAPIN,France,FRA - A,165,635,235,135,160,305,180,280,185,205,365,142,130,3122
25,29,Stefan Gaspar,Slovakia,SVK - A,230,565,185,120,145,315,205,105,350,335,290,182,92,3119
26,30,Will Blatt,USA,USA - A,245,615,225,80,205,250,245,250,325,135,180,208,104,3067
27,31,Vincent Bertrand,Belgium,UN - 1,225,760,260,80,190,190,135,85,325,290,270,161,71,3042
28,32,Salih Alan,Turkey,TUR - A,285,595,225,130,155,200,175,150,455,130,325,137,68,3030
29,33,Klara Vytiskova,Czech Republic,CZE - A,265,600,200,60,255,270,200,115,210,210,390,158,21,2954
30,34,Tom Collyer,United Kingdom,UK - A,215,530,195,80,180,265,215,170,345,200,210,123,70,2798
,35,Robert Vollmert,Germany,GER - B,195,390,205,145,140,345,225,40,320,320,280,98,34,2737
,36,Yuki Kawabe,Japan,JPN - C,190,540,245,100,95,320,180,115,300,185,260,109,74,2713
31,37,Eva Schuckert,Austria,UN - 1,255,540,175,125,175,270,105,225,270,230,25,225,68,2688
32,38,Mark Goodliffe,United Kingdom,UK - A,215,505,230,70,220,180,195,150,275,200,210,158,70,2678
33,39,Lee Hwangrae,Korea,KOR - A,160,400,235,155,110,295,205,200,235,275,220,102,70,2662
,40,Ko Okamoto,Japan,JPN - C,110,520,230,145,205,295,0,90,270,240,300,169,71,2645
34,41,Rishi Puri,India,IND - A,240,490,225,150,175,265,120,90,270,175,190,105,130,2625
,42,Tomoya Kimura,Japan,JPN - B,205,500,200,160,95,350,175,45,270,325,135,105,57,2622
,43,Yao Yue,China,CHN - B,160,570,140,80,180,245,160,260,130,245,205,172,67,2614
,44,Li Enyang,China,CHN - B,250,550,185,70,185,225,120,140,210,275,245,105,44,2604
,45,Anderson Wang,USA,USA-B,150,445,175,140,115,300,145,40,415,235,235,98,64,2557
35,46,Kishore Kumar Sridharan,India,IND - A,195,395,215,70,175,335,165,115,125,225,270,190,51,2526
36,47,Jenna Rivet,USA,USA - A,65,515,170,165,145,125,220,125,315,240,240,91,104,2520
37,48,Karin Griffioen,Netherlands,NED - A,255,525,160,30,140,190,205,90,305,190,145,170,80,2485
38,49,Michael Smit,Germany,GER - A,185,575,115,80,145,220,85,70,350,200,270,77,86,2458
,50,Taro Arimatsu,Japan,JPN - B,210,390,200,140,175,175,70,85,345,175,195,198,68,2426
,51,Anne LIMOGES,France,FRA - B,225,390,175,80,140,330,85,95,250,230,225,116,77,2418
39,52,Annick Weyzig,Netherlands,NED - A,130,465,180,150,120,305,200,50,170,255,230,98,54,2407
40,53,Wei-Hwa Huang,USA,USA - A,185,445,165,135,135,275,190,65,230,235,225,70,42,2397
41,54,Heather Golding,United Kingdom,UK - A,200,295,175,130,135,195,85,175,225,240,230,98,107,2290
42,55,Pál Madarassy,Hungary,HUN - A,165,340,155,80,105,255,195,40,235,280,280,70,71,2271
43,56,Hatice Esra Aydemir,Turkey,TUR - A,140,445,225,70,145,210,90,65,235,230,260,84,71,2270
44,57,Pranav Kamesh Sivakumar,India,IND - A,125,505,200,150,115,200,160,200,95,85,225,77,107,2244
,58,Neil Zussman,United Kingdom,UK - B,200,335,165,80,135,235,125,45,325,190,210,84,58,2187
45,59,Claudine Thiry,Luxembourg,UN - 1,185,260,130,80,115,295,120,170,170,215,200,151,92,2183
46,60,Natalia Chanova,Slovakia,SVK - A,160,415,150,80,115,245,120,45,260,205,155,119,95,2164
47,61,Olivier RUBIO,France,FRA - A,120,395,190,70,145,255,195,85,170,105,260,105,61,2156
,62,Takuma Kitamura,Japan,JPN - C,110,435,190,135,100,205,165,65,260,180,155,95,51,2146
48,63,György Herke,Hungary,HUN - A,140,335,130,80,80,235,135,40,300,205,205,162,86,2133
,64,Gaurav Kumar Jain,India,IND - B,85,385,215,60,205,135,135,20,210,140,255,165,68,2078
49,65,Pavel Jaselsky,Slovakia,SVK - A,195,455,155,80,90,235,125,85,195,80,190,112,60,2057
50,66,Kangasharju Jaakko,Finland,UN - 2,170,335,200,155,80,225,125,40,170,105,195,119,50,1969
51,67,Tom Groot Kormelink,Netherlands,NED - A,155,365,155,80,110,250,150,0,245,160,130,133,32,1965
52,68,Michael Mosshammer,Austria,UN - 1,155,405,95,125,105,185,90,45,240,200,185,70,50,1950
53,69,Fatih Kamer Anda,Turkey,TUR - A,60,370,110,125,100,165,105,65,235,280,130,70,95,1910
54,70,Pitchaya Apichetyota,Thailand,THA - A,115,345,210,90,75,190,80,150,170,205,125,91,55,1901
55,71,Zoran Tanasic,Serbia,SRB - A,115,500,155,135,155,150,105,20,85,40,300,77,61,1898
,72,Nicole Schädel,Germany,GER - B,105,425,185,120,70,110,135,40,195,200,165,98,47,1895
,73,Huang Zhonghua,China,UN - 4,125,355,150,145,175,165,135,20,235,85,150,49,67,1856
56,74,Jana Vodickova,Czech Republic,CZE - A,145,365,150,125,75,215,155,20,170,120,180,77,47,1844
57,75,Thananon Boonkrong,Thailand,THA - A,160,375,160,90,115,150,70,95,190,80,155,84,80,1804
58,76,Beri Kohen,Turkey,TUR - A,130,435,185,60,120,205,95,115,140,145,25,84,41,1780
59,77,Jörg Zentgraf,Germany,GER - A,145,385,130,70,125,230,55,0,205,210,135,49,34,1773
60,78,Giulia Franceschini,Italy,ITA - A,120,360,105,60,150,175,125,45,190,100,175,98,64,1767
,79,Hemant Kumar Malani,India,IND - B,140,365,95,40,130,250,110,65,195,160,125,49,37,1761
61,80,Kerstin Wöge,Germany,GER - A,140,375,95,0,175,155,110,70,170,175,180,77,35,1757
,81,Ralph Joshua P. Sarrosa,Philippines,UN - 9,140,345,165,20,145,60,120,100,195,145,125,123,57,1740
,82,Aashay Patil,India,IND - B,145,420,250,10,130,70,65,40,105,105,195,162,40,1737
62,83,Jaipal Reddy Mogiligundla,India,IND - A,95,315,160,70,170,190,125,20,100,185,210,42,40,1722
63,84,Laura Tarchetti,Italy,ITA - A,90,410,130,30,95,105,125,40,165,40,230,114,130,1704
64,85,Olga Diaz,Spain,UN - 4,115,305,140,80,90,160,130,65,165,140,150,105,50,1695
65,86,Cedomir Milanovic,Serbia,SRB - A,95,385,145,80,60,235,85,45,260,110,70,91,31,1692
,87,Isabelle Gall,Germany,GER - B,145,370,105,80,110,195,95,20,135,185,105,105,40,1690
,88,Yuki Yamamoto,Japan,JPN - B,100,390,150,80,135,175,0,85,125,175,125,77,71,1688
,89,Ricardo Uppelschoten,Netherlands,NED - B,125,375,85,0,80,165,205,0,195,150,175,70,61,1686
66,90,Vesna Jovanovic,Serbia,SRB - A,140,335,145,70,115,220,45,40,110,145,170,49,47,1631
67,91,Deyan Razsadov ,Bulgaria,BUL - A,30,360,155,125,105,155,115,0,170,160,130,49,40,1594
68,92,Elsila Ulla,Finland,UN - 2,130,315,125,125,60,160,95,20,170,120,135,102,32,1589
69,93,Roger Kohler,Switzerland,SUI - A,140,260,150,130,15,95,55,40,170,230,180,56,60,1581
,94,Harmeet Singh,India,IND - C,95,305,130,155,105,125,120,20,155,115,130,63,57,1575
70,95,Jonathan Conrad G. Yu,Philippines,PHI - A,120,285,95,100,105,85,90,145,125,120,105,105,68,1548
,96,Yang Pei,China,UN - 4,65,375,50,50,95,205,120,20,195,70,170,56,64,1535
71,97,Jaan Laks,Estonia,EST - A,105,285,135,60,75,145,140,40,95,180,145,70,40,1515
72,98,Joo Minyoung,Korea,KOR - A,125,305,90,70,80,155,135,20,205,85,145,49,30,1494
,99,Adam Bissett,United Kingdom,UK - B,105,195,50,80,95,190,135,40,65,185,200,98,44,1482
73,100,Sirawit Pulketkij,Thailand,THA - A,100,420,0,10,115,150,95,85,85,145,150,70,55,1480
,101,Marko Obradovic,Serbia,UN - 3,125,255,45,135,65,175,80,40,265,40,110,70,58,1463
,102,Pavel Kalhous,Czech Republic,UN - 5,55,225,125,125,95,100,160,40,125,200,100,77,34,1461
,103,Kang Hyunmo,Korea,KOR - B,60,185,105,145,55,155,135,20,135,155,175,77,54,1456
,104,Silke Berendes,Germany,GER - C,125,265,35,80,90,200,120,40,110,140,130,77,20,1432
,105,Jean-Christophe NOVELLI,France,FRA - B,45,280,80,60,70,180,130,45,150,205,110,35,37,1427
74,106,Henning Kalsgaard Poulsen,Denmark,UN - 2,100,350,100,10,125,95,65,20,125,120,150,77,77,1414
,107,Imke Herold,Germany,GER - B,115,235,115,135,130,130,95,45,125,0,95,144,47,1411
,108,Ha Junseo,Korea,KOR - D,75,245,160,160,95,55,55,40,110,120,125,98,70,1408
