index,name,country,oﬃcial,under18,over50,newcommer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,total
1.,Morinishi Kota,,1,,,,270,545,1090,430,340,580,,325,705,675,4960
2.,Vunk Tiit,,2,,,,315,575,1094,430,260,330,150,325,590,730,4799
3.,Vial-Jaime Bastien,,3,,,,270,470,955,240,295,500,220,450,655,670,4725
4.,Mrozowski Jan,,4,,,,290,545,845,330,380,360,220,310,680,530,4490
5.,Ondrousek Jakub,,5,,,,325,470,740,285,275,540,170,385,640,610,4440
6.,Ming Letian,,6,1,,,290,425,960,330,275,305,140,280,680,610,4295
7.,Dai Tantan,,7,2,,,220,585,1115,330,265,345,,420,460,510,4250
8.,Kwak Seungjae,,8,,,,315,515,795,350,360,335,120,170,605,645,4210
9.,Endo Ken,,9,,,,245,430,1025,350,330,415,200,135,455,565,4150
10.,Snyder Thomas,,10,,,,250,265,980,390,245,525,160,325,425,575,4140
11.,Ley Michael,,11,,,,220,425,940,285,260,485,100,325,505,450,3995
12.,Demiger Matus,,12,,,,260,440,850,185,295,380,190,340,390,635,3965
13.,Chen Shiyu,,13,3,,,305,370,775,250,245,140,210,325,705,405,3730
14.,Sun Cheran,,14,4,,,320,515,570,310,340,265,210,70,500,580,3680
15.,Sugimoto Takuya,,,,,,195,245,565,330,245,495,80,325,555,595,3630
16.,Seshadri Prasanna,,15,,,,240,495,745,275,245,235,160,310,385,530,3620
17.,Jones David,,16,,,,200,465,670,210,200,450,120,325,470,490,3600
18.,Rao Rohan,,17,,,,225,325,725,245,260,390,190,325,495,420,3600
19.,Hrazdira Jakub,,18,,,,190,370,730,210,165,325,170,386,540,510,3596
20.,Rungsangrattanakul Sinchai,,19,,,,210,355,660,250,265,340,190,325,455,505,3555
21.,Merker Martin,,20,,,,180,380,870,205,280,420,,310,410,420,3475
22.,Doyle Timothy,,21,,,,255,425,765,330,200,150,100,245,315,510,3295
23.,Zuﬀranieri Jason,,22,,,,215,420,780,300,255,305,,195,525,270,3265
24.,Sridharan Kishore Kumar,,23,,,,205,250,700,195,245,290,140,260,515,435,3235
25.,Lee Hwangrae,,24,,,,195,375,845,235,215,215,60,230,365,495,3230
