Pos,Name,Country,Team,Official,Rookie,Under 18,Over 50,Total,R 13,R 12,R 11,R 7,R 6,R 5,R 4,R 3,R 2,R 1
1,Ken Endo,Japan,JPN A,1,,,,3805,320,280,460,420,330,540,520,360,400,175
2,Kota Morinishi,Japan,JPN A,2,,,,3772,340,155,490,382,410,565,415,390,325,300
3,Tantan Dai,China,CHN A,3,,,,3700,230,280,470,490,220,470,550,300,400,290
4,Letian Ming,China,CHN A,4,,1,,3605,300,205,450,355,315,620,335,245,450,330
5,Jakub Ondroušek,Czech Republic,CZE A,5,,,,3520,330,110,310,410,410,445,510,305,410,280
6,Bastien Vial-Jaime,France,FRA A,6,,,,3495,210,115,425,385,360,505,465,390,350,290
7,Tiit Vunk,Estonia,EST A,7,,,,3490,215,155,305,420,395,520,440,280,470,290
8,Yuxuan Hu,China,CHN B,,,2,,3395,210,205,460,360,310,520,405,380,295,250
9,Shiyu Chen,China,CHN A,8,,,,3355,265,205,290,345,390,515,335,390,310,310
10,Jan Mrozowski,Poland,POL A,9,,,,3345,270,155,425,355,275,470,330,325,460,280
11,Seungjae Kwak,"Korea, Republic of",KOR A,10,,,,3320,240,110,450,420,350,395,450,345,340,220
12,Hideaki Jo,Japan,JPN A,11,,,,3255,210,165,380,415,350,420,470,295,335,215
13,Mingrui Huang,China,CHN B,,,3,,3215,270,110,460,405,240,435,375,370,300,250
14,Prasanna Seshadri,India,IND A,12,,,,3125,210,205,320,345,360,395,400,325,360,205
15,Thomas Snyder,United States,USA A,13,,,,3095,200,205,365,380,315,410,340,305,360,215
16,Jan Novotný,Czech Republic,CZE A,14,,,,3000,240,205,325,340,370,205,455,340,335,185
17,Michael Ley,Germany,GER A,15,,,,2955,255,110,250,345,345,470,430,240,300,210
17,Takuya Sugimoto,Japan,JPN B,,,,,2955,210,110,380,345,345,460,430,170,290,215
19,Cheran Sun,China,CHN A,16,,,,2945,205,205,315,355,315,280,295,215,450,310
20,Jakub Hrazdira,Czech Republic,CZE A,17,,,,2795,210,155,290,250,335,360,400,290,380,125
21,David Jones,Canada,CAN A,18,,,,2760,210,155,390,225,220,425,290,345,320,180
22,Jan Zvěřina,Czech Republic,CZE A,19,,,,2735,200,110,480,310,175,190,365,390,205,310
22,Timothy Doyle,France,FRA A,19,,,,2735,255,165,215,385,240,300,345,325,285,220
24,Jason Zuffranieri,United States,USA A,21,,,,2720,240,155,295,315,300,350,410,280,210,165
25,David McNeill,United Kingdom,GBR A,22,,,1,2680,180,155,305,275,300,425,405,295,185,155
26,Rohan Rao,India,IND A,23,,,,2655,170,110,235,295,250,425,350,270,380,170
27,Hwangrae Lee,"Korea, Republic of",KOR A,24,,,,2585,210,155,275,330,285,390,295,225,205,215
28,Matúš Demiger,Slovakia,SVK A,25,,,,2545,220,75,320,330,255,365,295,185,320,180
29,Zoltán Gyimesi,Hungary,HUN A,26,,,,2535,175,110,335,235,300,400,355,255,205,165
30,Bram de Laat,Netherlands,NED A,27,,,,2510,210,130,355,150,295,330,360,225,300,155
31,Salih Alan,Turkey,TUR A,28,,,,2505,150,115,350,235,250,385,355,280,210,175
32,Jana Novotná,Czech Republic,CZE B,,,,,2450,170,95,295,320,235,370,280,200,300,185
33,Vincent Bertrand,Belgium,UN 6,29,,,,2390,185,165,310,250,265,375,275,135,235,195
34,Pranav Kamesh Sivakumar,India,IND B,,,,,2380,180,70,320,305,250,280,275,220,230,250
35,Tom Collyer,United Kingdom,GBR A,30,,,,2355,140,115,290,220,275,420,265,285,175,170
36,Kishore Kumar Sridharan,India,IND A,31,,,,2305,210,115,275,260,230,330,300,185,185,215
37,Tomoya Kimura,Japan,JPN B,,,,,2300,150,205,220,165,205,335,325,255,280,160
37,Weifan Wang,China,CHN C,,,,,2300,190,75,215,235,265,375,275,205,280,185
39,Byron Calver,Canada,CAN A,32,,,,2285,150,115,340,260,110,300,330,255,240,185
40,Keisu Okuma,Japan,JPN A,33,,,,2240,175,70,285,210,240,285,280,160,320,215
41,Suzhe Qiu,China,CHN B,,1,4,,2230,115,110,270,290,225,275,275,280,235,155
42,Krystian Świderski,Poland,POL B,,,,,2200,150,110,260,270,210,295,320,200,275,110
43,Yuki Kawabe,Japan,JPN C,,,,,2180,180,110,305,270,180,280,245,310,175,125
44,Pavel Jaselský,Slovakia,SVK A,34,,,,2170,115,110,280,290,175,365,255,245,205,130
45,Jonas Gleim,Germany,GER A,35,,,,2130,190,75,230,235,240,250,300,215,280,115
46,Peter Hudák,Slovakia,SVK A,36,,,,2075,210,110,225,305,170,335,275,135,220,90
47,Natália Chanová,Slovakia,SVK A,37,,5,,2065,150,110,225,265,185,315,280,120,245,170
48,Yinchen Qian,China,CHN B,,2,6,,2060,115,70,245,250,105,410,220,125,270,250
49,Eva-Maria Schuckert,Austria,AUT A,38,,,,2050,205,95,325,85,210,340,285,240,165,100
50,Pavel Kadlečík,Czech Republic,CZE B,,,,,2025,180,115,285,270,235,235,240,130,140,195
51,Hatice Esra Aydemir,Turkey,TUR A,39,,,,2020,130,35,210,275,230,335,300,210,155,140
52,Sam Cappleman-Lynes,United Kingdom,GBR A,40,,,,2000,150,165,220,210,205,280,125,215,295,135
53,Karin Griffioen,Netherlands,NED A,41,,,,1995,150,130,285,225,125,305,300,70,270,135
54,Yannick Meyapin,France,FRA A,42,,,,1990,150,70,265,290,145,325,310,40,170,225
55,Kazuya Yamamoto,Japan,JPN C,,,,,1985,150,75,260,235,200,290,285,200,170,120
56,Amit Sowani,India,IND B,,,,,1955,110,95,135,200,260,260,315,200,235,145
57,Robert Vollmert,Germany,GER A,43,,,,1950,160,110,275,220,155,225,235,205,245,120
58,Philipp Weiß,Germany,GER A,44,,,,1930,160,95,290,290,205,325,275,0,195,95
59,Will Blatt,United States,USA B,,,,,1925,220,155,265,245,160,185,190,160,190,155
60,Anne Limoges,France,FRA A,45,,,,1920,150,130,230,200,200,230,185,160,265,170
61,Annick Weyzig,Netherlands,NED A,46,,,,1890,150,110,195,210,275,230,165,140,285,130
62,Xiaowei Huang,China,CHN C,,,,,1865,160,40,225,235,165,250,220,240,240,90
63,Piotr Gdowski,Poland,POL A,47,,,,1860,170,165,235,275,300,200,265,0,80,170
63,Neil Zussman,United Kingdom,GBR A,47,,,,1860,115,75,160,290,265,190,260,165,210,130
65,Torsten Rogoll,Germany,GER B,,,,,1845,150,70,120,265,215,255,265,220,130,155
66,Tomasz Skalski,Poland,POL B,,,,,1835,165,75,260,160,240,300,150,205,210,70
67,Zoran Tanasić,Serbia,SRB A,49,,,2,1830,140,110,285,105,205,315,245,170,140,115
68,Tomasz Stróżak,Poland,POL A,50,,,,1820,170,70,310,240,250,160,150,40,250,180
69,Denis Auroux,France,FRA B,,,,,1810,150,110,260,210,215,230,265,145,135,90
69,Chris Narrikkattu,United States,USA A,51,,,,1810,150,70,175,185,105,245,275,200,230,175
71,Wei-Hwa Huang,United States,USA A,52,,,,1780,100,110,255,225,95,280,275,225,185,30
71,Sunghwa Hong,"Korea, Republic of",KOR A,52,,,,1780,150,110,240,230,190,280,220,100,165,95
73,Maria Graber,Germany,GER B,,,,,1750,140,130,205,220,195,205,220,185,135,115
74,Jan Češka,Czech Republic,CZE B,,,,,1730,80,110,225,210,155,275,250,170,145,110
75,Joshua Zucker,United States,USA B,,,,3,1700,150,110,70,180,165,230,305,255,155,80
76,Olivier Rubio,France,FRA B,,,,,1675,80,110,130,225,230,220,260,225,85,110
77,György Herke,Hungary,HUN A,54,,,,1650,110,115,175,140,240,190,190,190,185,115
78,Michael Mosshammer,Austria,AUT A,55,,,,1580,130,110,220,125,195,250,260,85,140,65
78,Taner Karabulut,Turkey,TUR A,55,,,,1580,150,110,190,170,150,240,150,195,135,90
80,Zbigniew Laskowski,Poland,POL A,57,3,,,1575,75,110,210,180,95,120,250,200,220,115
81,Taro Arimatsu,Japan,JPN B,,,,4,1570,130,40,205,175,145,270,250,145,155,55
82,Yuki Kajihara,Japan,JPN B,,4,,,1560,95,70,140,160,140,290,195,170,205,95
82,Dennis Keetman,Netherlands,NED A,58,,,,1560,115,70,305,70,190,180,230,110,105,185
84,Jaakko Kangasharju,Finland,UN 1,59,,,,1555,150,70,210,165,160,220,195,150,135,100
85,Lenka Chaloupková,Czech Republic,CZE C,,5,,,1545,110,70,230,185,130,190,235,160,145,90
86,Kerstin Wöge,Germany,GER B,,,,,1535,140,70,200,105,0,205,260,150,220,185
87,Philippe Meyer,France,FRA B,,,,,1530,150,70,190,195,95,120,235,190,220,65
88,Swaroop Srinivasrao Guggilam,India,IND B,,,,,1525,70,110,190,150,105,230,190,175,180,125
89,Nicole Schädel,Germany,GER B,,,,,1500,110,110,235,145,0,230,165,150,195,160
89,Jaipal Redy Mogiligundla,India,UN 4,,,,,1500,110,35,125,160,225,205,210,165,145,120
91,Rishi Puri,India,IND A,60,,,,1480,150,70,155,150,130,275,120,130,115,185
92,Tom Groot Kormelink,Netherlands,NED B,,,,,1470,150,75,190,115,150,195,210,115,175,95
93,Zoltán Horváth,Hungary,HUN A,61,,,,1460,150,0,210,230,155,285,65,185,135,45
94,Ryotaro Chiba,Japan,JPN C,,6,7,,1445,75,40,260,260,85,250,205,40,140,90
95,Anna Szymańska,Poland,POL C,,,,,1425,90,70,225,145,190,225,170,100,145,65
96,Claudine Thiry,Luxembourg,UN 6,62,,,,1395,140,70,145,225,190,180,135,15,175,120
97,Édouard Lebeau,France,FRA C,,7,,,1390,70,75,120,150,170,215,295,85,145,65
97,Rick Uppelschoten,Netherlands,NED C,,,,,1390,110,110,175,145,100,155,205,165,150,75
99,Jakub Majewski,Poland,POL B,,8,,,1385,110,70,220,100,45,220,140,170,120,190
100,Matthias Reichmayr,Austria,AUT A,63,,,,1380,140,70,150,105,130,200,180,200,115,90
