Rank,Country,First Name,Last Name,Team,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 10,Round 11,Round 12,Points
1,Estonia,Tiit,Vunk,EST-A,300,205,285,120,360,225,230,300,255,160,2440
2,Japan,Kota,Morinishi,JPN-A,210,140,260,200,480,210,180,330,340,80,2430
3,China,Tantan,Dai,UN-8,270,120,390,160,410,170,180,330,225,160,2415
4,Czechia,Jakub,Ondroušek,CZE-A,240,115,320,210,400,225,200,260,110,140,2220
5,Poland,Jan,Mrozowski,POL-A,240,115,300,150,410,210,140,280,245,120,2210
6,Japan,Hideaki,Jo,JPN-A,180,110,200,170,380,180,170,295,260,130,2075
7,Czechia,Jakub,Hrazdira,CZE-A,180,160,230,200,250,195,110,260,235,70,1890
8,Japan,Ken,Endo,JPN-A,180,50,290,140,360,125,110,270,225,130,1880
9,USA,Thomas,Snyder,USA-A,210,60,275,230,275,140,130,260,155,130,1865
10,Serbia,Nikola,Živanović,UN-11,180,70,295,40,275,180,170,295,215,80,1800
11,Czechia,Jan,Zvěřina,CZE-A,240,70,125,110,370,195,130,190,225,130,1785
12,Thailand,Sinchai,Rungsangrattanakul,UN-8,180,80,185,80,200,135,210,165,265,130,1630
13,Slovakia,Matus,Demiger,SVK-A,180,60,290,120,250,115,130,225,195,60,1625
14,Japan,Yuhei,Kusui,UN-4,210,110,195,70,275,150,130,175,165,130,1610
15,Poland,Tomasz,Stróżak,POL-A,150,30,230,120,225,125,220,190,205,110,1605
16,India,Prasanna,Seshadri,IND-A,210,110,215,170,175,180,100,270,100,40,1570
17,Japan,Yuki,Kawabe,JPN-B,150,60,190,90,175,150,180,190,265,110,1560
18,Canada,David,Jones,CAN-A,120,125,225,110,175,140,90,225,250,90,1550
19,Belgium,Vincent,Bertrand,UN-1,240,100,250,0,125,210,60,170,245,140,1540
20,Thailand,Tawan,Sunathvanichkul,UN-8,180,145,210,90,150,105,170,165,225,90,1530
21,UK,Mark,Goodliffe,GBR-A,180,40,185,130,200,150,120,120,255,110,1490
22,Czechia,Jan,Novotný,CZE-A,120,130,145,80,175,140,130,230,170,130,1450
23,India,Kishore,Sridharan,IND-A,180,50,275,110,200,120,90,130,175,90,1420
24,Turkey,Salih,Alan,TUR-A,120,145,230,90,175,125,50,215,135,120,1405
25,Czechia,Jan,Vondruška,CZE-B,150,0,130,0,275,150,150,275,180,90,1400
26,France,Yannick,Meyapin,FRA-B,180,65,160,30,350,110,80,240,85,60,1360
27,India,Nityant,Agarwal,IND-A,150,150,205,160,200,80,130,70,80,130,1355
27,Poland,Dominik,Bezkosty,POL-A,120,125,145,190,150,100,50,225,210,40,1355
29,Germany,Carsten,Ruhnke,DEU-A,90,105,150,130,225,80,140,165,175,90,1350
30,Czechia,Jana,Novotná,CZE-B,120,75,190,150,125,110,100,200,200,70,1340
30,Japan,Kazuya,Yamamoto,JPN-B,120,90,190,50,225,120,50,190,205,100,1340
32,India,Pranav,Kamesh S,IND-A,180,90,135,60,200,100,60,260,115,100,1300
33,France,Timothy,Doyle,FRA-A,210,80,330,40,0,210,80,155,60,130,1295
34,China,Jiaqi,Qin,UN-4,120,85,160,70,235,95,90,130,225,80,1290
35,Turkey,Can,Erturan,TUR-A,150,155,205,40,100,105,140,140,180,60,1275
36,Hungary,Zoltán,Gyimesi,HUN-A,150,95,205,100,150,130,160,70,110,80,1250
37,Japan,Taro,Arimatsu,JPN-A,120,105,140,80,150,120,90,140,195,100,1240
37,Japan,Ryotaro,Chiba,JPN-B,120,85,115,130,125,150,90,200,135,90,1240
39,India,Kartik,Reddy Mogiligundla,UN-6,150,85,170,80,175,105,90,190,120,60,1225
40,Netherlands,Dennis,Keetman,NLD-A,150,75,85,80,175,70,130,230,135,70,1200
41,Netherlands,Bram,de Laat,NLD-A,120,120,140,0,150,100,110,225,160,60,1185
41,Slovakia,Pavel,Jaselský,SVK-A,150,130,130,100,125,155,170,55,90,80,1185
43,Austria,Eva-Maria,Schuckert,AUT-A,120,50,185,80,200,125,110,195,40,70,1175
44,Germany,Robert,Vollmert,DEU-A,120,65,165,90,100,100,110,190,120,110,1170
45,France,Anne,Limoges,FRA-A,150,90,190,80,75,80,70,190,125,110,1160
46,Poland,Krystian,Świderski,POL-B,120,80,160,60,75,105,90,225,95,120,1130
47,UK,Tom,Collyer,GBR-A,60,80,135,0,250,65,30,235,150,120,1125
48,Czechia,Adam,Šuráň,CZE-B,150,55,110,90,175,125,100,50,195,70,1120
48,Slovakia,Stefan,Gaspar,SVK-A,120,90,210,90,100,80,80,190,100,60,1120
50,France,Philippe,Meyer,FRA-A,120,60,215,50,0,120,120,155,175,100,1115
50,South Korea,Hwangrae,Lee,KOR-A,120,115,80,40,100,115,90,205,180,70,1115
