Official Rank   (w/o ties),Individual (before and after playoffs),Team,Official Comp.,(F)irst Time / (O)ver 50 / (U)nder 19,Total Score,Rd. 1,Rd. 2,Rd. 3,Rd. 4,Rd. 5,Rd. 6,Rd. 7,Rd. 8,Rd. 9,Rd. 10
1,"DAI, TANTAN",UN-UN,Y,,5770,630,495,535,600,600,610,630,385,640,645
2,"VUNK, TIIT",EST-A,Y,,5740,580,570,620,480,640,580,650,445,600,575
3,"MORINISHI, KOTA",JPN-A,Y,,5540,640,570,390,405,620,610,660,420,590,635
4,"ENDO, KEN",JPN-A,Y,,5040,530,525,520,435,280,520,495,520,610,605
5,"ZVĚŘINA, JAN",CZE-A,Y,,4937,550,570,505,335,497,530,610,485,375,480
6,"QIU, SUZHE",UN-11,Y,U,4879,454,540,520,445,410,550,465,380,600,515
7,"ONDROUŠEK, JAKUB",CZE-A,Y,,4870,520,570,360,405,550,580,650,485,360,390
8,"KWAK, SEUNGJAE",UN-5,Y,,4838,600,438,610,400,490,570,450,355,450,475
9,"SUN, CHERAN",UN-11,Y,,4686,530,453,520,335,580,498,475,385,420,490
10,"SUGIMOTO, TAKUYA",JPN-A,Y,,4560,330,380,510,405,470,530,610,385,460,480
11,"RUNGSANGRATTANAKUL, SINCHAI",THA-A,Y,,4496,406,480,515,215,445,520,600,415,410,490
12,"VONDRUŠKA, JAN",CZE-A,Y,,4285,425,380,420,435,490,510,475,410,360,380
13,"BERTRAND, VINCENT",UN-4,Y,,4245,425,495,465,335,420,460,570,235,460,380
14,"DOYLE, TIMOTHY",FRA-A,Y,,4174,500,469,535,400,365,500,570,380,180,275
15,"JO, HIDEAKI",JPN-A,Y,,4075,470,480,395,315,470,520,440,260,400,325
16,"JONES, DAVID",CAN-A,Y,,4005,500,320,490,370,355,460,410,340,390,370
17,"HRAZDIRA, JAKUB",CZE-A,Y,,3685,400,305,535,195,330,460,450,280,420,310
18,"DEMIGER, MATÚŠ",SVK-A,Y,,3635,375,335,290,345,280,500,550,360,375,225
19,"CALVER, BYRON",CAN-A,Y,,3630,425,425,320,305,340,370,355,235,420,435
,"KAWABE, YUKI",JPN-B,,,3550,395,280,430,370,330,460,380,235,360,310
20,"CHEN, TYLER",USA-A,Y,,3510,400,390,335,230,200,530,335,350,370,370
21,"BEZKOSTY, DOMINIK",POL-A,Y,,3500,400,345,360,305,420,370,380,215,345,360
22,"DE LAAT, BRAM",NED-A,Y,,3494,310,310,440,295,420,334,345,325,295,420
,"YAMAMOTO, KAZUYA",UN-4,,,3466,400,390,425,285,345,426,230,245,340,380
23,"HYDE, JORDYN",USA-A,Y,,3405,460,375,365,335,250,345,335,240,320,380
24,"STRÓŻAK, TOMASZ",POL-A,Y,,3390,325,310,355,275,255,450,410,270,400,340
25,"ZUFFRANIERI, JASON",USA-A,Y,,3380,400,280,310,360,365,330,335,295,345,360
26,"SUNATHVANICHKUL, TAWAN",THA-A,Y,,3340,310,245,375,315,330,490,220,330,330,395
27,"MERKER, MARTIN",GER-A,Y,,3285,290,305,370,290,345,370,380,185,345,405
