All,Official Rank,Name,Country or Region,Team,Official,Age,New-comer,Total,R1,R2,R3,R4,R5,R6,R7,R10,R11
1,1,Ming Letian,CHN,CHN-A,Y,,N,3980,470,200,235,570,400,175,470,350,1110
2,,Qiu Suzhe,CHN,CHN-B,N,U18,N,3705,430,160,345,500,365,180,365,300,1060
3,2,Dai Tantan,CHN,CHN-A,Y,,N,3575,400,180,325,425,270,180,450,275,1070
4,3,Hu Yuxuan,CHN,CHN-A,Y,,N,3394,450,149,265,500,340,195,370,235,890
5,5,Ken Endo,JPN,JPN-A,Y,,N,3140,320,140,345,385,340,190,335,165,920
6,6,Tiit Vunk,EST,EST-A,Y,,N,3090,305,170,375,390,265,0,385,280,920
7,4,Kota Morinishi,JPN,JPN-A,Y,,N,3088,350,170,220,450,410,8,365,280,835
8,8,Can Erturan,TUR,TUR-A,Y,U18,N,2710,295,115,230,370,270,155,345,195,735
9,7,Yang Leduo,CHN,CHN-A,Y,U18,Y,2617,310,210,275,230,235,42,320,370,625
10,,Takuya Sugimoto,JPN,JPN-B,N,,N,2575,275,125,245,315,290,160,365,175,625
11,9,Thomas Snyder,USA,USA-A,Y,,N,2565,230,150,270,400,155,0,370,235,755
12,,Luo Siyuan,CHN,CHN-B,N,,Y,2511,325,160,190,320,320,36,235,300,625
13,10,"Merker, Martin",GER,GER-A,Y,,N,2490,285,85,210,310,155,175,300,180,790
14,11,Matus Demiger,SVK,SVK-A,Y,,N,2479,260,100,245,370,235,134,275,230,630
15,12,Jan Zverina,CZE,,Y,,N,2475,335,170,90,210,280,0,350,300,740
16,,Xie Yifan,CHN,CHN-B,N,U18,Y,2428,285,200,255,310,120,48,325,330,555
17,13,Sinchai Rungsangrattanakul,THA,THA-A,Y,,N,2420,295,110,225,275,270,175,140,200,730
18,14,Kwak Seungjae,KOR,KOR-A,Y,,N,2364,305,170,225,260,235,34,245,255,635
19,,Gao Zhenxin,CHN,CHN-B,N,,Y,2320,135,160,210,300,340,155,220,245,555
20,15,Rintaro Matsumoto,JPN,JPN-A,Y,,Y,2265,260,150,225,370,240,0,280,195,545
21,16,Prasanna Venkatesh Seshadri,IND,IND-A,Y,,N,2165,170,120,165,285,210,70,275,210,660
22,17,David Jones,CAN,CAN-A,Y,,N,2160,255,125,245,215,165,0,285,190,680
23,18,Tawan Sunathvanichkul,THA,THA-A,Y,,N,2120,210,115,205,320,105,155,230,140,640
24,19,Timothy Doyle,FRA,FRA-A,Y,,N,2085,225,135,240,230,170,0,250,245,590
25,,Yu Tianxiang,CHN,UN-8,N,U18,Y,2023,195,148,265,175,120,0,220,300,600
26,20,Salih Alan,TUR,TUR-A,Y,,N,1997,270,105,235,240,155,22,125,200,645
27,21,Tomasz Stróżak,POL,UN-4,Y,,N,1970,275,90,245,240,150,40,160,150,620
28,,Akio Tanabe,JPN,JPN-B,N,,Y,1960,155,110,85,300,190,170,250,140,560
29,22,Lee Hwangrae,KOR,KOR-A,Y,,N,1940,150,110,165,240,205,160,220,160,530
30,23,Ryotaro Chiba,JPN,JPN-A,Y,,N,1915,185,85,210,205,255,175,225,90,485
31,,Naoki Sekiya,JPN,JPN-B,N,,N,1815,230,105,175,200,215,80,230,150,430
32,24,Kishore Kumar Sridharan,IND,IND-A,Y,,N,1810,275,90,235,300,180,0,70,180,480
33,,Huang Xiaowei,CHN,UN-10,N,,N,1665,230,50,115,225,105,150,165,150,475
34,25,Tyler Chen,USA,USA-A,Y,,N,1652,130,110,240,100,180,32,200,180,480
35,26,Dennis Keetman,NED,NED-A,Y,,N,1628,175,90,225,310,155,68,70,115,420
36,27,"König, Christian",GER,GER-A,Y,,N,1625,155,50,85,275,195,175,135,125,430
37,28,WU TUNG YI,TPE,UN-9,Y,,N,1615,140,170,175,230,155,0,125,160,460
38,29,Highryll CJ Tan,PHI,PHI-A,Y,,Y,1605,205,125,175,110,185,0,250,80,475
39,30,Neil Gary Zussman,GBR,GBR-A,Y,,N,1590,175,80,165,175,100,160,230,40,465
40,31,Bram de Laat,NED,NED-A,Y,,N,1588,275,65,145,135,190,48,170,105,455
41,32,Thomas Luo,USA,USA-A,Y,,N,1585,125,55,135,145,185,180,200,60,500
