Rank,Official Rank,U18/O50,NEW,Name,Team,Total,R1,R2,R3,R4,R5,R6,R7,R10,R11,R12
1,1,,,Dai Tantan,CHN-A,4541,400,166,345,370,420,470,740,350,480,800
2,,U18,,Qiu Suzhe,UN-7,4367,380,125,360,480,375,307,750,295,530,765
3,2,,,Kota Morinishi,JPN-A,4254,318,190,345,462,430,309,740,295,460,705
4,3,,,Hu Yuxuan,CHN-A,4135,300,190,380,335,375,325,750,325,480,675
5,4,,,Ming Letian,CHN-A,4094,220,210,329,320,540,500,630,320,310,715
6,5,,,Ken Endo,JPN-A,3921,325,120,301,420,430,415,720,325,150,715
7,6,,,Sun Cheran,CHN-A,3767,330,160,211,246,250,325,740,350,450,705
8,7,,,Tiit Vunk,EST-A,3700,330,190,240,275,400,255,590,300,480,640
9,8,,,Martin Merker,GER-A,3475,265,115,270,295,420,300,670,245,410,485
10,9,,,Thomas Snyder,USA-A,3432,185,130,240,355,430,272,620,190,460,550
11,10,,,Jan Vondruška,CZE-A,3424,290,135,230,235,330,345,650,270,344,595
12,11,U18,,Can Erturan,TUR-A,3375,175,95,270,335,345,290,670,190,410,595
13,12,,,Rintaro Matsumoto,JPN-A,3320,250,150,240,301,354,220,700,235,410,460
14,13,,,Vincent Bertrand,UN-3,3291,235,142,284,230,360,240,640,270,410,480
15,14,,,Sinchai Jaturangkhajit,THA-A,3279,255,150,240,192,410,325,467,200,420,620
16,15,,,Jan Zverina,CZE-A,3261,120,155,300,215,375,150,610,345,440,551
17,16,,,Christian König,GER-A,3188,245,85,215,355,360,175,700,150,450,453
18,17,,,Hideaki Jo,JPN-A,3165,175,105,270,270,315,247,660,325,233,565
18,,,,Naoki Sekiya,JPN-B,3165,290,120,115,290,345,290,620,210,420,465
20,18,,NEW,Lucy Epstein,USA-A,3158,305,120,125,355,215,290,710,220,303,515
21,,,,Jan Novotný,CZE-B,3104,185,97,190,340,315,192,670,175,420,520
22,19,,,Matúš Demiger,SVK-A,3000,265,130,187,255,295,345,640,284,189,410
23,20,,,Thomas Luo,USA-A,2965,260,135,230,400,315,150,520,180,420,355
24,21,,,Bastien Vial-Jaime,FRA-A,2960,250,100,230,360,200,105,700,185,300,530
25,22,,,Jakub Hrazdira,CZE-A,2951,183,75,317,263,225,220,600,208,410,450
26,,,,Wang Weifan,UN-7,2900,240,165,260,265,180,105,590,295,320,480
27,23,,,David Jones,CAN-A,2830,255,95,250,270,175,210,565,200,420,390
28,24,,,Prasanna Seshadri,IND-A,2819,155,120,260,125,315,300,680,270,174,420
29,25,,,Chiel Beenhakker,NED-A,2783,175,84,252,215,330,177,401,175,440,534
30,26,,,Jakub Ondroušek,CZE-A,2769,325,175,300,210,260,240,369,330,35,525
31,,,,Jana Novotná,CZE-B,2764,240,85,220,215,240,220,670,225,219,430
32,27,,,Dominik Bezkosty,POL-A,2735,100,100,145,245,300,290,630,205,360,360
33,28,,,Hwangrae Lee,KOR-A,2730,135,95,180,250,180,220,650,210,450,360
34,,,,Maxim Li,USA-B,2707,140,80,210,230,275,275,519,135,440,403
35,29,,,Eva-Maria Schuckert,UN-4,2700,130,80,220,195,275,290,630,115,330,435
36,30,,,Bram de Laat,NED-A,2666,180,85,181,193,345,230,550,170,370,362
37,31,,,Tawan Sunathvanichkul,THA-A,2650,165,105,175,215,215,115,640,210,380,430
38,,,,Nityant Agarwal,UN-9,2569,165,95,245,150,175,205,550,240,371,373
39,32,,,Tomasz Stróżak,POL-A,2540,60,65,200,190,290,220,680,240,300,295
40,33,,,Salih Alan,TUR-A,2511,170,61,240,270,190,255,465,165,340,355
41,34,O50,,David McNeill,GBR-A,2496,80,111,200,190,330,150,690,190,170,385
42,35,,,Tyler Chen,USA-A,2487,230,120,187,190,300,175,660,86,203,336
43,36,,NEW,Adem Jaziri,UN-10,2466,180,74,192,218,250,175,537,155,380,305
44,37,,,Tina Bratim,CRO-A,2464,158,80,135,181,240,140,640,175,330,385
45,38,,,Calum Mailer,GBR-A,2420,170,55,80,210,330,150,475,185,410,355
46,39,,,Timothy Doyle,FRA-A,2409,135,135,235,230,225,240,400,205,144,460
47,,,NEW,Seiryu Tabata,JPN-B,2406,140,70,165,200,300,185,430,168,380,368
48,40,,,Natália Chanová,SVK-A,2404,165,75,155,190,210,240,620,175,169,405
49,41,,,Anne Limoges,FRA-A,2400,200,65,175,165,175,140,580,130,420,350
50,,,,Ryotaro Chiba,JPN-B,2392,235,65,230,217,200,220,453,140,255,377
51,,,,Peter Hudák,SVK-B,2388,170,73,220,215,175,150,630,165,320,270
52,42,,,Kevin Sun,CAN-A,2383,100,80,252,235,280,105,493,135,306,397
53,,,NEW,Lennart Muijres,NED-B,2349,210,59,190,250,175,240,610,135,160,320
54,,,,Jason V. Zuffranieri,USA-B,2347,150,70,160,290,200,255,475,140,257,350
55,,,,Annick Weyzig,NED-B,2345,124,65,110,215,225,220,640,115,350,281
56,,,,Aubin Danzo,FRA-B,2310,50,47,200,202,345,220,640,155,221,230
57,,,,Przemysław Dębiak,POL-B,2285,115,70,175,170,225,150,650,115,300,315
58,,,,Ondřej Motlíček,CZE-D,2273,185,65,220,145,225,70,610,65,340,348
59,,,,Anderson Wang,USA-B,2258,170,85,240,220,300,160,491,175,21,396
60,43,,,Tom Collyer,GBR-A,2243,175,107,232,110,225,220,660,110,174,230
61,,O50,,Wei-Hwa Huang,USA-B,2239,135,29,155,215,225,105,630,95,370,280
62,44,,,Torsten Rogoll,GER-A,2199,130,85,175,100,240,150,580,160,269,310
62,45,,,Štefan Gašpár,SVK-A,2199,100,44,180,215,230,115,590,135,360,230
64,,,,Andrea Pachera,UN-2,2153,169,80,174,245,225,157,620,70,120,293
65,,,,Jeffrey Huang,USA-E,2139,50,49,125,180,225,185,530,175,340,280
66,,,,Yuki Kajihara,JPN-B,2137,170,115,230,96,140,185,640,205,21,335
67,,,,Valentin Miakinen,FRA-B,2124,100,40,200,276,180,70,600,90,279,289
68,46,,NEW,Orhun Yüksel,TUR-A,2116,120,50,235,100,225,115,580,101,330,260
69,,U18,NEW,Nora Borst,USA-E,2100,135,100,200,122,174,105,429,125,360,350
70,,,NEW,Filip Brecher,CZE-B,2097,130,55,159,98,215,175,465,100,360,340
71,,,NEW,Takeru Sugai,UN-3,2080,100,35,140,210,195,140,580,140,310,230
